序号,认定点代码,题型代码,题号,试题（题干）。,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,,,
495,A-B-C-002,G（多选题）,,（）中无人机可能使用交流电。,电机驱动系统,电池充电过程,电动刹车系统,电动伺服系统,动力电池,,CD,2（易）,5（好）,,,
496,A-B-C-003,B（单选题）,,在一段电路中，已知电流为2A，电压为6V，则电阻是（）。,3Ω,6Ω,9Ω,12Ω,,,A,2（易）,5（好）,,,
497,A-B-C-003,B（单选题）,,在一个电源上，已知电压为12V，电阻为4Ω，则电流是（）。,3A,4A,5A,6A,,,D,3（中）,5（好）,,,
498,A-B-C-003,B（单选题）,,如果电阻保持不变，电压增加，电流会（）。,增加,减少,不变,取决于具体情况,,,A,3（中）,5（好）,,,
499,A-B-C-003,B（单选题）,,电功率是指（）。,电流的大小,电压的大小,电流与电压的乘积,电流与时间的乘积,,,C,3（中）,5（好）,,,
500,A-B-C-003,C（判断题）,,电功率P与电压V和电流I的关系是线性的，即功率P与电流I的平方成正比。,正确,错误,,,,,A,2（易）,5（好）,,,
501,A-B-C-003,C（判断题）,,在无人机的电路中，如果电阻R保持不变，当电流I增加时，根据欧姆定律，电压V也会增加。,正确,错误,,,,,A,3（中）,5（好）,,,
502,A-B-C-003,G（多选题）,,关于欧姆定律的描述，正确的是（）。,欧姆定律表明电阻不变时，电流大小与电压大小成正比,当电阻不变时，电流和电压呈反比关系 ,欧姆定律适用于所有类型的电路 ,欧姆定律适用于直流电路和部分交流电路 ,欧姆定律只适用于金属导体,,AD,3（中）,5（好）,,,
503,A-B-C-003,G（多选题）,,无人机电功率的计算方式正确是（）。,考虑多个电机时，将每个电机的功率相加得到总电功率,电功率表示单位时间内消耗或产生的能量 ,无人机飞行时电功率可以为负值,仅依据电池的容量大小来计算,根据无人机飞行的速度和空气阻力来计算,,AB,3（中）,5（好）,,,
504,A-B-C-004,B（单选题）,,电气原理图中，连接线的交点如果没有特殊标记，则意味着(  )。,导线在此处连接,导线在此处断开,导线在此处有特殊要求,导线在此处有附加元件,,,A,3（中）,4（较好）,,,
505,A-B-C-004,B（单选题）,,在电气原理图中，“L1、L2、L3”一般表示(  )。,三相交流电的三个相序,三条不同颜色的导线,三个不同的电气元件,三个不同的电流等级,,,A,3（中）,5（好）,,,
506,A-B-C-004,B（单选题）,,在电气原理图中，电路的正极通常用（）符号表示。,+,-,~,*,,,A,2（易）,5（好）,,,
507,A-B-C-004,B（单选题）,,"在电气原理图中，导线的编号“W1, W2, W3”代表了(  )。",导线颜色,导线长度,导线截面面积,导线的连接顺序,,,D,2（易）,5（好）,,,
508,A-B-C-004,C（判断题）,,在无人机的电气原理图中，如果一个电阻并联于电源电路中，则它的电阻值会直接影响整个电路的总电流。,正确,错误,,,,,A,2（易）,5（好）,,,
509,A-B-C-004,C（判断题）,,在无人机电路的电气图中，二极管的符号通常是一个三角形指向一条线，表示电流只能单方向流动。,正确,错误,,,,,A,3（中）,5（好）,,,
510,A-B-C-004,G（多选题）,,在无人机电子电路中，（）元件可能会在控制电路中使用。,晶体管,微控制器,电感器,陀螺仪,热电偶,,BD,3（中）,5（好）,,,
511,A-B-C-004,G（多选题）,,（）通常可以在无人机电气图中找到。,电池,电机,传感器,蓝牙模块,液压系统,,AB,3（中）,5（好）,,,
512,A-B-C-005,B（单选题）,,气压高度计是利用（）原理来测量高度的仪器。,激光测距,雷达探测,气压变化,立体几何计算,,,C,3（中）,5（好）,,,
513,A-B-C-005,B（单选题）,,随着海拔高度的上升，大气压力（）变化，这是气压高度计工作的基础原理之一。,上升,下降,保持不变,无法确定,,,B,3（中）,3（中）,,,
514,A-B-C-005,B（单选题）,,气压高度计中，（）部件是感应大气静压力的敏感元件。,机械传动机构,真空膜盒,静压导管,指示部件,,,B,4（较难）,5（好）,,,
515,A-B-C-005,B（单选题）,,气压高度计在（）领域有着广泛的应用。,医学诊断,农业灌溉,航空飞行,建筑施工,,,C,3（中）,5（好）,,,
516,A-B-C-005,C（判断题）,,气压高度计的读数可以直接与海平面高度对应，但需要根据当前的温度、气压和天气条件进行修正才能准确计算。,正确,错误,,,,,A,3（中）,5（好）,,,
517,A-B-C-005,C（判断题）,,气压高度计通过测量大气压的变化来确定飞行器的高度，因此其读数会随环境气压的变化而波动。,正确,错误,,,,,A,3（中）,3（中）,,,
518,A-B-C-005,G（多选题）,,关于无人机气压高度计的描述，正确的是（）。,气压高度计使用大气压力来计算高度 ,气压高度计的精度受大气压力变化的影响较大 ,气压高度计不适用于高空飞行 ,气压高度计通常用于测量相对高度,气压高度计可以直接测量无人机的海拔高度 ,,ABD,4（较难）,5（好）,,,
519,A-B-C-005,G（多选题）,,（）因素会影响无人机气压高度计的精度。,大气压力变化,湿度,温度,风速,电池电量,,AC,3（中）,5（好）,,,
520,A-B-C-006,B（单选题）,,无人机惯性测量单元（IMU）主要用于测量（）参数。,电磁信号强度,气压变化,物体姿态、角速度和加速度,地面高度,,,C,3（中）,5（好）,,,
521,A-B-C-006,B（单选题）,,IMU通过（）主要组件来实现其功能。,磁力计和超声波传感器,陀螺仪和加速度计,激光雷达和摄像头,气压计和温度传感器,,,B,3（中）,5（好）,,,
522,A-B-C-006,B（单选题）,,在无人机应用中，IMU主要用于（）方面。,地图绘制与导航,视频拍摄与传输,姿态控制、导航和定位,环境温度监测,,,C,5（难）,5（好）,,,
523,A-B-C-006,B（单选题）,,IMU相比其他定位技术，其显著特点是（）。,依赖GPS信号,抗干扰能力强，不依赖外界信号,精度随时间累积误差大,无法进行姿态测量,,,B,3（中）,5（好）,,,
524,A-B-C-006,C（判断题）,,惯性测量单元（IMU）通过加速度计、陀螺仪和磁力计的组合来测量无人机的加速度、角速度和航向，但无法直接测量速度和位置。,正确,错误,,,,,A,3（中）,5（好）,,,
525,A-B-C-006,C（判断题）,,IMU在长时间使用过程中，由于传感器的累积误差（如零偏和噪声），需要定期进行校准，以避免飞行状态误差的显著增加。,正确,错误,,,,,A,3（中）,5（好）,,,
526,A-B-C-006,G（多选题）,,无人机惯性测量单元（IMU）主要用于（）。,测量无人机的加速度,测量无人机的磁场强度,测量无人机的角速度,提供航向、俯仰和滚转角度信息,地面温度测,,ACD,5（难）,5（好）,,,
527,A-B-C-006,G（多选题）,,无人机惯性测量单元（IMU）常见的传感器类型有（）。,加速度计,陀螺仪,磁力计,温度传感器,超声波传感器,,ABC,3（中）,5（好）,,,
528,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电阻的仪器是（）。,示波器,频率计数器,兆欧表,LCR测量表,,,D,3（中）,5（好）,,,
529,A-B-C-007,B（单选题）,,在无人机电气系统调试过程中，用于测试电机转向和转速的工具是（）。,伺服舵机测试仪,振动检测仪,遥控器,兆欧表,,,A,3（中）,5（好）,,,
530,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电流的仪器是（）。,兆欧表,万用表,示波器,LCR测量表,,,B,3（中）,5（好）,,,
531,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电路板或电线是否导通的工具是（）。,电压表,万用表,功率计,频率计,,,B,2（易）,5（好）,,,
532,A-B-C-007,C（判断题）,,电压表和电流表的接入方式不同：电压表通常串联在电路中，而电流表则应并联接入电路。,正确,错误,,,,,B,3（中）,5（好）,,,
533,A-B-C-007,C（判断题）,,在无人机电器系统的安装过程中，使用示波器可以实时观察电路中的电压波形，以便检查信号的质量和干扰情况。,正确,错误,,,,,A,3（中）,5（好）,,,
534,A-B-C-007,G（多选题）,,在无人机电气系统安装过程中，（）工具通常用于电气连接和维修。,电烙铁,剥线钳,电流表,扭力扳手,锯条,,ABD,3（中）,5（好）,,,
535,A-B-C-007,G（多选题）,,进行无人机电气系统调试时，必需的仪器仪表有（）。,万用表,示波器,电压表,电流钳,手动螺丝刀,,ABCD,2（易）,5（好）,,,
536,A-B-C-008,B（单选题）,,无人机电气系统一般包括（）三个部分。,电源、电缆、接插件,电缆、供电系统、用电设备,电池、电机、电调,电源、配电系统、用电设备,,,D,3（中）,4（较好）,,,
537,A-B-C-008,B（单选题）,,无人机电气系统中，电调（电子调速器）的主要功能是（）。,控制电机转速,存储飞行数据,测量电池电压,传输控制信号,,,A,3（中）,5（好）,,,
538,A-B-C-008,B（单选题）,,无人机电气系统中，（）部件不直接参与电能的传输。,电缆,电机,电池,电调,,,B,2（易）,5（好）,,,
539,A-B-C-008,B（单选题）,,无人机电气系统中，用电设备通常指的是（）设备。,电池和电机,电调和电缆,飞控系统和传感器,螺旋桨和机架,,,C,2（易）,5（好）,,,
540,A-B-C-008,C（判断题）,,无人机电器系统中的电缆通常使用铜线或铝线，而在高频信号传输中，更倾向于使用具有较低介电常数的材料来降低信号衰减。,正确,错误,,,,,A,3（中）,4（较好）,,,
541,A-B-C-008,C（判断题）,,在无人机电器系统中，使用镀金连接器可以提高电接触的可靠性，因为镀金层具有良好的导电性和抗腐蚀性。,正确,错误,,,,,A,3（中）,5（好）,,,
542,A-B-C-008,G（多选题）,,在无人机电气系统中，（）材料通常用于电气线路的绝缘处理。,聚氯乙烯（PVC）,聚四氟乙烯（PTFE）,聚氨酯（PU）,聚酯（PET）,铝塑复合材料,,ABC,2（易）,5（好）,,,
543,A-B-C-008,G（多选题）,,无人机电气系统中的连接器和电缆通常使用（）材料以确保轻便和高强度。,铝合金,铜合金,钛合金,不锈钢,低碳钢,,ABC,2（易）,5（好）,,,
544,A-B-C-009,B（单选题）,,在无人机电气安装过程中，对于重要的部件或线路，通常需要进行的保护措施是（）。,涂漆,隔离,屏蔽,封装,,,D,3（中）,4（较好）,,,
545,A-B-C-009,B（单选题）,,无人机电气安装时，保证电气系统的稳定性与安全性的做法是（）。,合理布局、选择合适的元器件并确保电气系统接地良好,尽可能多的使用电容和电感进行滤波处理,使用高功率电源供电,在无人区域进行试验,,,A,3（中）,5（好）,,,
546,A-B-C-009,B（单选题）,,在无人机电气安装过程中，（）对于确保系统的可靠性至关重要。,使用尽可能多的电缆连接,高质量的接线端子和插头,电缆的颜色编码,电缆的长度,,,B,2（易）,5（好）,,,
547,A-B-C-009,B（单选题）,,为了减少电磁干扰，无人机的电气布线应该（）。,尽可能密集地布置所有电缆,使用屏蔽电缆并合理布局,使用非屏蔽电缆,不需要特别注意,,,C,2（易）,5（好）,,,
548,A-B-C-009,C（判断题）,,在无人机电气安装过程中，所有电缆的布线必须避免与高温部件直接接触，同时应使用抗干扰性强的屏蔽电缆，以减少电磁干扰。,正确,错误,,,,,A,3（中）,4（较好）,,,
549,A-B-C-009,C（判断题）,,无人机电气系统安装时，电缆应使用标准接头和插头进行连接，且插头的接触部分不应暴露在外部环境中，以防止水分和灰尘侵入。,正确,错误,,,,,A,3（中）,5（好）,,,
550,A-B-C-009,G（多选题）,,在无人机电气安装工艺中，确保电气系统正常运行的关键要求有（）。,所有电气接头必须焊接并加以绝缘,电缆布线应尽量避免锐角弯曲,电气系统必须避免与机械运动部件相干涉,每个模块的电源线路要独立布设，以防互相干扰,使用低质量的电缆和接头,,BCD,2（易）,5（好）,,,
551,A-B-C-009,G（多选题）,,无人机电气安装工艺中，有助于提高电气系统的安全性和稳定性都要求有（）。,所有电缆和接头应进行防水处理,电气元件应远离热源和高温区域,电线的长度应尽量减少以降低电阻,安装电流和电压保护装置,使用过高功率的电源模块,,ABD,2（易）,5（好）,,,
552,A-B-C-010,B（单选题）,,在进行无人机电气安装时，（）措施是确保电源线路安全的关键步骤。,仅使用标准电源线并随意接线,仔细检查电源线绝缘层是否有破损,直接将电源线焊接到电路板上,忽略电源线布局，以方便安装为主,,,B,3（中）,5（好）,,,
553,A-B-C-010,B（单选题）,,在安装无人机的电池管理系统时，（）处理电池之间的连接。,直接用导线将电池串联起来,使用电池管理模块进行连接,使用电烙铁焊接电池,使用插头连接电池,,,B,3（中）,3（中）,,,
554,A-B-C-010,B（单选题）,,在无人机电气安装中，（）有助于防止电路短路。,使用过长的电缆并缠绕在一起,使用合适的线束管理技术,使用尽可能多的连接器,安装尽可能多的电子设备,,,B,3（中）,5（好）,,,
555,A-B-C-010,B（单选题）,,无人机电气系统中，对电缆进行标记是为了（）。,使外观更美观,方便未来的故障排除和维护,增加电缆的重量,减少电缆的灵活性,,,B,2（易）,5（好）,,,
556,A-B-C-010,C（判断题）,,无人机电气系统中的接地系统安装时，所有接地线应确保直接连接至机身金属部分，并避免使用塑料和非导电材料作为接地线。,正确,错误,,,,,A,3（中）,5（好）,,,
557,A-B-C-010,C（判断题）,,在无人机电气系统的安装过程中，为了提高系统的可靠性，所有的电气元件应当通过快速连接器进行安装，这样便于后期的检修和更换。,正确,错误,,,,,B,3（中）,3（中）,,,
558,A-B-C-010,G（多选题）,,在进行无人机电气安装时，可以确保电气系统的可靠性的方法有（）。,使用耐高温电缆,确保所有连接点可靠固定,配置独立电源为不同模块供电,在电气系统中使用接地保护,频繁更换电池,,ABCD,3（中）,5（好）,,,
559,A-B-C-010,G（多选题）,,无人机电气安装过程中，确保电气线路安全和正常运行的关键步骤有（）。,电线按最短路径布设,确保电缆线路避免与旋翼等运动部件接触,采用可插拔连接器以便快速更换,安装防水密封件以防水汽侵入,使用太阳能板供电,,BCD,2（易）,5（好）,,,
560,A-B-C-011,B（单选题）,,为了保证无人机电气系统的安全性，（）的步骤是必要的。,定期检查电线是否有磨损或损坏,在电池电量充足时进行飞行,使用非原装充电器为电池充电,将多台无人机的电源线连接在一起,,,A,3（中）,5（好）,,,
561,A-B-C-011,B（单选题）,,（）的行为可能会导致无人机电气系统的接触不良。,清洁无人机的电路板,更换电池时使用正确的工具,将无人机暴露在潮湿的环境中,将电源线连接到正确的插头,,,C,3（中）,5（好）,,,
562,A-B-C-011,B（单选题）,,无人机电气系统中使用绝缘胶带是为了（）。,仅为了美观,防止电线磨损和短路,增加系统的复杂性,减少信号干扰,,,B,3（中）,5（好）,,,
563,A-B-C-011,B（单选题）,,在无人机电气系统中安装保险丝或断路器的主要目的是（）。,增加系统的复杂性,提高传输距离,保护电路免受过载,减少信号干扰,,,C,3（中）,5（好）,,,
564,A-B-C-011,C（判断题）,,在无人机电气系统的安装过程中，为了防止电气短路，所有电缆应使用合适的电缆保护套管，且在安装过程中应避免电缆受拉或压迫。,正确,错误,,,,,A,3（中）,5（好）,,,
565,A-B-C-011,C（判断题）,,为了提高无人机电气系统的安全性，所有电气元件应当使用过载保护器，以防止电流过大引起设备损坏或火灾。,正确,错误,,,,,A,3（中）,5（好）,,,
566,A-B-C-011,G（多选题）,,无人机电气安装过程中，必要的安全防护方法有（）。,使用过载保护装置,采用电磁兼容（EMC）设计,配置电气防火屏障,安装电池过热监测系统,使用激光测距仪进行电气安装,,ABCD,3（中）,5（好）,,,
567,A-B-C-011,G（多选题）,,为了防止无人机电气系统的电气冲击，有效的防护方法有（）。,使用适配的保险丝和断路器,配置地面电源保护装置,加强电缆绝缘保护,定期进行电气设备清洁,使用无线充电系统,,ABC,3（中）,5（好）,,,
568,A-B-C-012,B（单选题）,,如果在无人机飞行中电池电量突然耗尽，（）应急措施是正确的。,立即关闭所有非关键系统以节省电力,尝试重启无人机的电气系统,立即进行紧急降落,继续飞行直到找到安全着陆点,,,C,3（中）,5（好）,,,
569,A-B-C-012,B（单选题）,,无人机在飞行中失去动力时，应采取的应急措施包括（）。,切换到备用电源,立即执行紧急程序，包括可能的紧急着陆,尝试重新启动电机,增加电机的供电电压,,,B,3（中）,5（好）,,,
570,A-B-C-012,B（单选题）,,如果在无人机电气系统维护中发现电调（电子调速器）过热，应（）。,继续使用，直到出现故障,使用水冷却电调,立即停止使用并检查散热系统,增加电压以提高散热效率,,,C,5（难）,5（好）,,,
571,A-B-C-012,B（单选题）,,发现无人机电机在启动时发出异常噪音，应采取的应急措施是（）。,继续飞行，噪音可能很快消失,停止电机，检查电机和螺旋桨,增加电机供电电压以克服噪音,减少电机供电电压以克服噪音,,,B,3（中）,5（好）,,,
572,A-B-C-012,C（判断题）,,若在无人机电气系统安装后，出现系统电压不稳定的问题，应首先检查所有电气接头的连接是否紧固，必要时进行重新连接，并避免直接接触高压电气部件。,正确,错误,,,,,A,3（中）,5（好）,,,
573,A-B-C-012,C（判断题）,,在无人机电气安装过程中，如果发现电池连接出现异常（如电池过热或电流异常），应立即断开电池电源并进行冷却处理，以避免电池发生危险。,正确,错误,,,,,A,3（中）,5（好）,,,
574,A-B-C-012,G（多选题）,,在无人机电气系统出现故障时，可以有效应对电气故障应急措施的有（）。,立即断开电池电源,激活备用电源系统,重启飞控系统,通过无线通信系统通知地面站,增加蓝牙连接,,ABCD,5（难）,5（好）,,,
575,A-B-C-012,G（多选题）,,在进行无人机电气安装时，针对短路风险，必要的应急措施有（）。,配置过电流保护装置,使用防水电缆,设置电池电压过低警告,定期检查电气接头和线缆连接,增加LED灯光效果,,ABD,3（中）,5（好）,,,
576,A-B-D-001,B（单选题）,,计算机终端设备通常由（）部分组成。,显示器、键盘、鼠标、处理器、接口连接设备,显示器、打印机、扫描仪、路由器,键盘、音响、麦克风、摄像头,处理器、内存、硬盘、显卡,,,A,3（中）,5（好）,,,
577,A-B-D-001,B（单选题）,,在计算机终端设备中，显示器的作用是（）。,存储数据,运算数据,输入数据,输出数据,,,D,3（中）,5（好）,,,
578,A-B-D-001,B（单选题）,,在计算机终端设备中，负责处理和控制数据的是（）。,中央处理器（CPU）,存储设备,输入设备,输出设备,,,A,3（中）,5（好）,,,
579,A-B-D-001,B（单选题）,,计算机终端设备中的存储设备是用来做（）。,存储数据和程序,处理数据,控制数据传输,输入和输出数据,,,A,3（中）,5（好）,,,
580,A-B-D-001,C（判断题）,,无人机的飞行日志可以通过计算机终端设备进行存储和分析。（）,正确,错误,,,,,A,3（中）,5（好）,,,
581,A-B-D-001,C（判断题）,,无人机飞行前的检查可以通过计算机终端设备进行。（）,正确,错误,,,,,A,3（中）,5（好）,,,
582,A-B-D-001,G（多选题）,,计算机终端设备的输出设备通常包含（）。,显示器,打印机,音箱,投影仪,绘图仪,,ABD,3（中）,5（好）,,,
583,A-B-D-001,G（多选题）,,计算机终端设备的输入设备通常包含（）。,键盘,鼠标,手写板（非触摸屏）,麦克风,摄像头,,ABDE,3（中）,5（好）,,,
584,A-B-D-002,B（单选题）,,计算机操作系统的主要功能不包括（）。,管理计算机硬件资源,提供用户界面,编写应用程序,管理文件和目录,,,A,3（中）,5（好）,,,
585,A-B-D-002,B（单选题）,,（）操作系统主要用于移动设备。,Android,Linux,Windows Server,Unix,,,A,3（中）,5（好）,,,
586,A-B-D-002,B（单选题）,,在操作系统中，负责内存管理的组件是（）。,文件系统,内核,驱动程序,用户界面,,,B,2（易）,5（好）,,,
587,A-B-D-002,B（单选题）,,（）选项是开源操作系统。,Windows,macOS,Linux,iOS,,,C,2（易）,5（好）,,,
588,A-B-D-002,C（判断题）,,在无人机操作系统中，实时操作系统（RTOS）通常被用于飞行控制系统，因为它能够确保任务按严格的时间要求完成，避免延迟对飞行安全造成影响。,正确,错误,,,,,A,3（中）,5（好）,,,
589,A-B-D-002,C（判断题）,,无人机使用的计算机操作系统必须具备高效的任务调度能力和强大的资源管理功能，以确保多任务并行处理，同时保持系统稳定性和低功耗。,正确,错误,,,,,A,3（中）,5（好）,,,
590,A-B-D-002,G（多选题）,,在无人机操作系统中，实时操作系统（RTOS）所必需的特性（）。,精确的任务调度,确保任务按时完成,支持多任务并行执行,高度的系统兼容性与灵活性,虚拟化支持,,ABC,2（易）,5（好）,,,
591,A-B-D-002,G（多选题）,,无人机操作系统需要具备（）功能来确保飞行控制系统的稳定性和安全性。,实时性保障,优先级调度,异常处理与容错机制,支持图形用户界面（GUI）,大规模数据存储与云服务支持,,ABC,2（易）,5（好）,,,
592,A-B-D-003,B（单选题）,,计算机网络中，保障无人机数据传输有序进行的协议是（ ）。,HTTP,TCP,IP,UDP,,,B,3（中）,5（好）,,,
593,A-B-D-003,B（单选题）,,实现多架无人机在同一区域内同时与计算机网络稳定连接，（）是最合适的网络拓扑结构。,总线型,星型,环型,树型,,,B,3（中）,5（好）,,,
594,A-B-D-003,B（单选题）,,在利用计算机网络远程操控无人机时，（）对于减少网络延迟最为关键。,高性能显卡,快速的 CPU,高带宽网络适配器,大容量内存,,,C,3（中）,5（好）,,,
595,A-B-D-003,B（单选题）,,计算机网络中（）协议主要用于无线局域网中的通信。,HTTP,FTP,TCP/IP,Wi-Fi,,,D,3（中）,5（好）,,,
596,A-B-D-003,C（判断题）,,无人机在计算机网络中的 IP 地址是固定不变的，设定后就不能更改。(),正确,错误,,,,,B ,3（中）,5（好）,,,
597,A-B-D-003,C（判断题）,,无人机的飞行数据可以通过计算机网络进行存储和分析。(),正确,错误,,,,,A,3（中）,5（好）,,,
598,A-B-D-003,G（多选题）,,影响无人机在计算机网络中数据传输质量的因素有（ ）。,网络带宽,信号干扰,传输协议,无人机的电池电量,网络设备的老化程度,,ABCE,3（中）,5（好）,,,
599,A-B-D-003,G（多选题）,,计算机网络为无人机提供的服务包括（ ）。,远程操控,数据传输,实时监控,软件升级,飞行路径规划,,ABCD,3（中）,5（好）,,,
600,A-B-D-004,B（单选题）,,为了防止计算机病毒传播，最有效的措施是（）。,不使用外部存储设备,定期更新杀毒软件的病毒库,断开计算机与网络的连接,只使用正版软件,,,B,3（中）,5（好）,,,
601,A-B-D-004,B（单选题）,,（）是DDoS攻击。,拒绝服务攻击,分布式拒绝服务攻击,数据驱动的拒绝服务攻击,集中式拒绝服务攻击,,,B,3（中）,5（好）,,,
602,A-B-D-004,B（单选题）,,为了保护计算机不受恶意软件的侵害，（）做法是最有效的。,定期清理计算机垃圾文件,从不下载未知来源的文件,安装和更新防病毒软件,仅使用计算机进行文字处理,,,C,2（易）,5（好）,,,
603,A-B-D-004,B（单选题）,,为了保护个人隐私，（）密码设置方法是不推荐的。,所有账户使用相同的密码,使用包含数字、字母和特殊字符的复杂密码,定期更换密码,使用密码管理器生成和存储密码,,,A,2（易）,5（好）,,,
604,A-B-D-004,C（判断题）,,安装一款正版杀毒软件后，计算机就绝对安全，不会受到任何病毒或恶意软件的攻击。,正确,错误,,,,,B,3（中）,5（好）,,,
605,A-B-D-004,C（判断题）,,只要不连接互联网，计算机就不需要进行安全防护。,正确,错误,,,,,B,3（中）,5（好）,,,
606,A-B-D-004,G（多选题）,,计算机安全防护的有效方法有（）。,安装杀毒软件和防火墙,定期更新操作系统和软件,定期清理磁盘空间,不随意打开可疑的电子邮件附件,对重要数据进行备份,,ABDE,3（中）,5（好）,,,
607,A-B-D-004,G（多选题）,,为了增强计算机账户的安全性，可采取（）等措施。,设置强密码,开启多因素认证,定期清理浏览器缓存,避免使用公共网络登录重要账户,安装杀毒软件和防火墙,,ABDE,3（中）,5（好）,,,
608,A-B-D-005,B（单选题）,,在无人机调试过程中，（）软件通常用于配置和调试飞控系统。,QGroundControl,Adobe Photoshop,Microsoft Excel,Google Earth,,,A,3（中）,5（好）,,,
609,A-B-D-005,B（单选题）,,（）不属于无人机调试软件的主要功能。,代码编写,测试执行,错误诊断,报告生成,,,A,3（中）,5（好）,,,
610,A-B-D-005,B（单选题）,,无人机调试软件中的“地面控制站（GCS）”主要用于（）功能。,调整无人机的外观设计,实时监控飞行状态并做参数调整,提供飞行时的电池电量,查看无人机拍摄的画面,,,B,2（易）,5（好）,,,
611,A-B-D-005,B（单选题）,,无人机调试软件中的“校准传感器”功能是为了（）。,提升无人机最大飞行速度,提升无人机的最大飞行高度,提升无人机的飞行稳定性,提升无人机的机动性,,,C,2（易）,5（好）,,,
612,A-B-D-005,C（判断题）,,无人机调试软件可以随意从任何非官方渠道下载，不会对无人机的调试产生安全风险。,正确,错误,,,,,B,2（易）,5（好）,,,
613,A-B-D-005,C（判断题）,,只要无人机能正常飞行，就不需要使用调试软件对其进行参数检查和更新。,正确,错误,,,,,B,2（易）,5（好）,,,
614,A-B-D-005,G（多选题）,,关于无人机调试软件的功能，正确的是（）。,飞行参数校准,固件升级,电池品牌识别（非电机测试）,飞行模式设置,传感器数据查看,,ABDE,3（中）,5（好）,,,
615,A-B-D-005,G（多选题）,,无人机调试软件的实时监控功能可以提供的信息有（）。,无人机的飞行高度,无人机的飞行速度,无人机的电池状态,无人机的GPS位置,无人机的图像传输,,ABCD,3（中）,5（好）,,,
616,A-B-D-006,B（单选题）,,（）软件通常用于无人机的飞行路径规划和模拟。,Adobe Photoshop,Mission Planner,Microsoft Word,Google Chrome,,,B,3（中）,5（好）,,,
617,A-B-D-006,B（单选题）,,用于无人机实时参数监控和调试的软件是（）。,MAVProxy,Excel,PowerPoint,AutoCAD,,,A,3（中）,5（好）,,,
618,A-B-D-006,B（单选题）,,（）软件可以用于无人机的仿真测试和开发环境。,Gazebo,Unreal Engine,Audacity,Blender,,,A,2（易）,5（好）,,,
619,A-B-D-006,B（单选题）,,无人机飞控软件开发中，常用的编程环境软件是（）。,VLC Media Player,iTunes,Visual Studio Code,Spotify,,,C,2（易）,5（好）,,,
620,A-B-D-006,C（判断题）,,大疆的 Assistant 2 调参软件仅适用于大疆的消费级无人机。,正确,错误,,,,,B,2（易）,5（好）,,,
621,A-B-D-006,C（判断题）,,Betaflight 调参软件只支持多旋翼无人机，不支持固定翼无人机。,正确,错误,,,,,B,2（易）,5（好）,,,
622,A-B-D-006,G（多选题）,,常见的无人机调参软件有（）。,MissionPlanner,Betaflight,特定品牌遥控器专属 APP（非 DJI Assistant 2 ）,APMPlanner2.0,QGC,,ABDE,2（易）,5（好）,,,
623,A-B-D-006,G（多选题）,,关于无人机调参软件功能的描述，正确的有（）。,MissionPlanner 可进行地图导航及任务规划,Betaflight 支持多种电机控制协议，如 DShot、Multishot、Oneshot 等，能提升动力响应灵敏度,DJI Assistant 2 仅具有固件升级功能（无 限飞数据升级）,APMPlanner2.0 可设置电机方向和遥控器映射等参数,QGC 可实现无人机的实时监控与远程控制,,ABDE,2（易）,5（好）,,,
624,A-B-D-007,B（单选题）,,主要用于文档的创建、编辑、排版和格式化，广泛应用于报告、论文、简历等文档的制作，（）是常用软件。,Excel,PowerPoint,Word,Access,,,C,2（易）,5（好）,,,
625,A-B-D-007,B（单选题）,,专门用于电子表格的创建、数据输入、处理、分析和可视化，支持复杂的数据计算和图表生成的软件是（）。,Word,Excel,PowerPoint,Outlook,,,B,2（易）,5（好）,,,
626,A-B-D-007,B（单选题）,,用于制作幻灯片、演示文稿和演示报告，支持文本、图片、音频和视频等多种元素的整合与展示的软件是（）。,Excel,Word,PowerPoint,Access,,,C,3（中）,5（好）,,,
627,A-B-D-007,B（单选题）,,用于数据的定义、存储、查询、更新和管理，支持数据的结构化存储和高效检索的系统软件是（）。,PowerPoint,Word,Access,Outlook,,,C,3（中）,5（好）,,,
628,A-B-D-007,C（判断题）,,常用办公软件仅包括文档处理软件和电子表格软件。,正确,错误,,,,,B,3（中）,5（好）,,,
629,A-B-D-007,C（判断题）,,Microsoft Access 是一款专注于数据分析和处理的大数据分析工具，而非用于创建数据库（）。,正确,错误,,,,,B,3（中）,5（好）,,,
630,A-B-D-007,G（多选题）,,属于常用办公软件种类的有（）。,文档处理软件，如 Microsoft Word、WPS Office 文字等,电子表格软件，例如 Microsoft Excel、Google Sheets 等,演示文稿软件，像 Microsoft PowerPoint、Google Slides 等,图像编辑软件，如 Adobe Photoshop、美图秀秀等,视频剪辑软件，如 Adobe Premiere Pro、剪映等,,ABC,3（中）,5（好）,,,
