,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,,,,
383,A-B-C-004,C（判断题）,,在无人机的电气原理图中，如果一个电阻并联于电源电路中，则它的电阻值会直接影响整个电路的总电流。（）,正确,错误,,,,,A,2（易）,5（好）,,,,,,,,,,,,
384,A-B-C-004,C（判断题）,,在无人机电路的电气图中，二极管的符号通常是一个三角形指向一条线，表示电流只能单方向流动。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
385,A-B-C-005,B（单选题）,,气压高度计是利用（）。原理来测量高度的仪器,激光测距,雷达探测,气压变化,立体几何计算,,,C,3（中）,5（好）,,,,,,,,,,,,
386,A-B-C-005,B（单选题）,,随着海拔高度的上升，大气压力（）。变化，这是气压高度计工作的基础原理之一,上升,下降,保持不变,无法确定,,,B,3（中）,3（中）,,,,,,,,,,,,
387,A-B-C-005,B（单选题）,,气压高度计中，（）。部件是感应大气静压力的敏感元件,机械传动机构,真空膜盒,静压导管,指示部件,,,B,4（较难）,5（好）,,,,,,,,,,,,
388,A-B-C-005,B（单选题）,,气压高度计在（）。领域有着广泛的应用,医学诊断,农业灌溉,航空飞行,建筑施工,,,C,3（中）,5（好）,,,,,,,,,,,,
389,A-B-C-005,C（判断题）,,气压高度计的读数可以直接与海平面高度对应，但需要根据当前的温度、气压和天气条件进行修正才能准确计算。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
390,A-B-C-005,C（判断题）,,气压高度计通过测量大气压的变化来确定飞行器的高度，因此其读数会随环境气压的变化而波动。（）,正确,错误,,,,,A,3（中）,3（中）,,,,,,,,,,,,
391,A-B-C-006,B（单选题）,,无人机惯性测量单元（IMU）主要用于测量（）。参数,电磁信号强度,气压变化,物体姿态、角速度和加速度,地面高度,,,C,3（中）,5（好）,,,,,,,,,,,,
392,A-B-C-006,B（单选题）,,IMU通过（）。主要组件来实现其功能,磁力计和超声波传感器,陀螺仪和加速度计,激光雷达和摄像头,气压计和温度传感器,,,B,3（中）,5（好）,,,,,,,,,,,,
393,A-B-C-006,B（单选题）,,在无人机应用中，IMU主要用于（）。方面,地图绘制与导航,视频拍摄与传输,姿态控制、导航和定位,环境温度监测,,,C,5（难）,5（好）,,,,,,,,,,,,
394,A-B-C-006,B（单选题）,,IMU相比其他定位技术，其显著特点是（）。,依赖GPS信号,抗干扰能力强，不依赖外界信号,精度随时间累积误差大,无法进行姿态测量,,,B,3（中）,5（好）,,,,,,,,,,,,
395,A-B-C-006,C（判断题）,,惯性测量单元（IMU）通过加速度计、陀螺仪和磁力计的组合来测量无人机的加速度、角速度和航向，但无法直接测量速度和位置。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
396,A-B-C-006,C（判断题）,,IMU在长时间使用过程中，由于传感器的累积误差（如零偏和噪声），需要定期进行校准，以避免飞行状态误差的显著增加。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
397,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电阻的仪器是（）。,示波器,频率计数器,兆欧表,LCR测量表,,,D,3（中）,5（好）,,,,,,,,,,,,
398,A-B-C-007,B（单选题）,,在无人机电气系统调试过程中，用于测试电机转向和转速的工具是（）。,伺服舵机测试仪,振动检测仪,遥控器,兆欧表,,,A,3（中）,5（好）,,,,,,,,,,,,
399,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电流的仪器是（）。,兆欧表,万用表,示波器,LCR测量表,,,B,3（中）,5（好）,,,,,,,,,,,,
400,A-B-C-007,B（单选题）,,无人机电气系统安装中，用于测量电路板或电线是否导通的工具是（）。,电压表,万用表,功率计,频率计,,,B,2（易）,5（好）,,,,,,,,,,,,
401,A-B-C-007,C（判断题）,,电压表和电流表的接入方式不同：电压表通常串联在电路中，而电流表则应并联接入电路。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
402,A-B-C-007,C（判断题）,,在无人机电器系统的安装过程中，使用示波器可以实时观察电路中的电压波形，以便检查信号的质量和干扰情况。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
403,A-B-C-008,B（单选题）,,无人机电气系统一般包括（）。三个部分,电源、电缆、接插件,电缆、供电系统、用电设备,电池、电机、电调,电源、配电系统、用电设备,,,D,3（中）,4（较好）,,,,,,,,,,,,
404,A-B-C-008,B（单选题）,,无人机电气系统中，电调（电子调速器）的主要功能是（）。,控制电机转速,存储飞行数据,测量电池电压,传输控制信号,,,A,3（中）,5（好）,,,,,,,,,,,,
405,A-B-C-008,B（单选题）,,无人机电气系统中，（）。部件不直接参与电能的传输,电缆,电机,电池,电调,,,B,2（易）,5（好）,,,,,,,,,,,,
406,A-B-C-008,B（单选题）,,无人机电气系统中，用电设备通常指的是（）。设备,电池和电机,电调和电缆,飞控系统和传感器,螺旋桨和机架,,,C,2（易）,5（好）,,,,,,,,,,,,
407,A-B-C-008,C（判断题）,,无人机电器系统中的电缆通常使用铜线或铝线，而在高频信号传输中，更倾向于使用具有较低介电常数的材料来降低信号衰减。（）,正确,错误,,,,,A,3（中）,4（较好）,,,,,,,,,,,,
408,A-B-C-008,C（判断题）,,在无人机电器系统中，使用镀金连接器可以提高电接触的可靠性，因为镀金层具有良好的导电性和抗腐蚀性。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
409,A-B-C-009,B（单选题）,,在无人机电气安装过程中，对于重要的部件或线路，通常需要进行的保护措施是（）。,涂漆,隔离,屏蔽,封装,,,D,3（中）,4（较好）,,,,,,,,,,,,
410,A-B-C-009,B（单选题）,,无人机电气安装时，保证电气系统的稳定性与安全性的做法是（）。,合理布局、选择合适的元器件并确保电气系统接地良好,尽可能多的使用电容和电感进行滤波处理,使用高功率电源供电,在无人区域进行试验,,,A,3（中）,5（好）,,,,,,,,,,,,
411,A-B-C-009,B（单选题）,,在无人机电气安装过程中，（）。对于确保系统的可靠性至关重要,使用尽可能多的电缆连接,高质量的接线端子和插头,电缆的颜色编码,电缆的长度,,,B,2（易）,5（好）,,,,,,,,,,,,
412,A-B-C-009,B（单选题）,,为了减少电磁干扰，无人机的电气布线应该（）。,尽可能密集地布置所有电缆,使用屏蔽电缆并合理布局,使用非屏蔽电缆,不需要特别注意,,,C,2（易）,5（好）,,,,,,,,,,,,
413,A-B-C-009,C（判断题）,,在无人机电气安装过程中，所有电缆的布线必须避免与高温部件直接接触，同时应使用抗干扰性强的屏蔽电缆，以减少电磁干扰。（）,正确,错误,,,,,A,3（中）,4（较好）,,,,,,,,,,,,
414,A-B-C-009,C（判断题）,,无人机电气系统安装时，电缆应使用标准接头和插头进行连接，且插头的接触部分不应暴露在外部环境中，以防止水分和灰尘侵入。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
415,A-B-C-010,B（单选题）,,在进行无人机电气安装时，（）。措施是确保电源线路安全的关键步骤,仅使用标准电源线并随意接线,仔细检查电源线绝缘层是否有破损,直接将电源线焊接到电路板上,忽略电源线布局，以方便安装为主,,,B,3（中）,5（好）,,,,,,,,,,,,
416,A-B-C-010,B（单选题）,,在安装无人机的电池管理系统时，（）。处理电池之间的连接,直接用导线将电池串联起来,使用电池管理模块进行连接,使用电烙铁焊接电池,使用插头连接电池,,,B,3（中）,3（中）,,,,,,,,,,,,
417,A-B-C-010,B（单选题）,,在无人机电气安装中，（）。有助于防止电路短路,使用过长的电缆并缠绕在一起,使用合适的线束管理技术,使用尽可能多的连接器,安装尽可能多的电子设备,,,B,3（中）,5（好）,,,,,,,,,,,,
418,A-B-C-010,B（单选题）,,无人机电气系统中，对电缆进行标记是为了（）。,使外观更美观,方便未来的故障排除和维护,增加电缆的重量,减少电缆的灵活性,,,B,2（易）,5（好）,,,,,,,,,,,,
419,A-B-C-010,C（判断题）,,无人机电气系统中的接地系统安装时，所有接地线应确保直接连接至机身金属部分，并避免使用塑料和非导电材料作为接地线。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
420,A-B-C-010,C（判断题）,,在无人机电气系统的安装过程中，为了提高系统的可靠性，所有的电气元件应当通过快速连接器进行安装，这样便于后期的检修和更换。（）,正确,错误,,,,,B,3（中）,3（中）,,,,,,,,,,,,
421,A-B-C-011,B（单选题）,,为了保证无人机电气系统的安全性，（）。的步骤是必要的,定期检查电线是否有磨损或损坏,在电池电量充足时进行飞行,使用非原装充电器为电池充电,将多台无人机的电源线连接在一起,,,A,3（中）,5（好）,,,,,,,,,,,,
422,A-B-C-011,B（单选题）,,（）。的行为可能会导致无人机电气系统的接触不良,清洁无人机的电路板,更换电池时使用正确的工具,将无人机暴露在潮湿的环境中,将电源线连接到正确的插头,,,C,3（中）,5（好）,,,,,,,,,,,,
423,A-B-C-011,B（单选题）,,无人机电气系统中使用绝缘胶带是为了（）。,仅为了美观,防止电线磨损和短路,增加系统的复杂性,减少信号干扰,,,B,3（中）,5（好）,,,,,,,,,,,,
424,A-B-C-011,B（单选题）,,在无人机电气系统中安装保险丝或断路器的主要目的是（）。,增加系统的复杂性,提高传输距离,保护电路免受过载,减少信号干扰,,,C,3（中）,5（好）,,,,,,,,,,,,
425,A-B-C-011,C（判断题）,,在无人机电气系统的安装过程中，为了防止电气短路，所有电缆应使用合适的电缆保护套管，且在安装过程中应避免电缆受拉或压迫。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
426,A-B-C-011,C（判断题）,,为了提高无人机电气系统的安全性，所有电气元件应当使用过载保护器，以防止电流过大引起设备损坏或火灾。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
427,A-B-C-012,B（单选题）,,如果在无人机飞行中电池电量突然耗尽，（）。应急措施是正确的,立即关闭所有非关键系统以节省电力,尝试重启无人机的电气系统,立即进行紧急降落,继续飞行直到找到安全着陆点,,,C,3（中）,5（好）,,,,,,,,,,,,
428,A-B-C-012,B（单选题）,,无人机在飞行中失去动力时，应采取的应急措施包括（）。,切换到备用电源,立即执行紧急程序，包括可能的紧急着陆,尝试重新启动电机,增加电机的供电电压,,,B,3（中）,5（好）,,,,,,,,,,,,
429,A-B-C-012,B（单选题）,,如果在无人机电气系统维护中发现电调（电子调速器）过热，应（）。,继续使用，直到出现故障,使用水冷却电调,立即停止使用并检查散热系统,增加电压以提高散热效率,,,C,5（难）,5（好）,,,,,,,,,,,,
430,A-B-C-012,B（单选题）,,发现无人机电机在启动时发出异常噪音，应采取的应急措施是（）。,继续飞行，噪音可能很快消失,停止电机，检查电机和螺旋桨,增加电机供电电压以克服噪音,减少电机供电电压以克服噪音,,,B,3（中）,5（好）,,,,,,,,,,,,
431,A-B-C-012,C（判断题）,,若在无人机电气系统安装后，出现系统电压不稳定的问题，应首先检查所有电气接头的连接是否紧固，必要时进行重新连接，并避免直接接触高压电气部件。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
432,A-B-C-012,C（判断题）,,在无人机电气安装过程中，如果发现电池连接出现异常（如电池过热或电流异常），应立即断开电池电源并进行冷却处理，以避免电池发生危险。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
433,A-B-D-001,B（单选题）,,计算机终端设备通常由（）。部分组成,显示器、键盘、鼠标、处理器、接口连接设备,显示器、打印机、扫描仪、路由器,键盘、音响、麦克风、摄像头,处理器、内存、硬盘、显卡,,,A,3（中）,5（好）,,,,,,,,,,,,
434,A-B-D-001,B（单选题）,,在计算机终端设备中，显示器的作用是（）。,存储数据,运算数据,输入数据,输出数据,,,D,3（中）,5（好）,,,,,,,,,,,,
435,A-B-D-001,B（单选题）,,在计算机终端设备中，负责处理和控制数据的是（）。,中央处理器（CPU）,存储设备,输入设备,输出设备,,,A,3（中）,5（好）,,,,,,,,,,,,
436,A-B-D-001,B（单选题）,,计算机终端设备中的存储设备是用来做（）。,存储数据和程序,处理数据,控制数据传输,输入和输出数据,,,A,3（中）,5（好）,,,,,,,,,,,,
437,A-B-D-001,C（判断题）,,无人机的计算机终端设备中，网络接口主要用于实现与无人机其他模块（如飞行控制器、传感器等）之间的数据交换与通信，而不涉及与地面站的通信。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
438,A-B-D-001,C（判断题）,,无人机计算机终端设备的组成通常包括中央处理单元（CPU）、内存、显示器、输入设备（如键盘和鼠标）以及网络接口，用于飞行控制系统的数据处理与交互。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
439,A-B-D-002,B（单选题）,,计算机操作系统的主要功能不包括（）。,管理计算机硬件资源,提供用户界面,编写应用程序,管理文件和目录,,,A,3（中）,5（好）,,,,,,,,,,,,
440,A-B-D-002,B（单选题）,,（）。操作系统主要用于移动设备,Android,Linux,WindowsServer,Unix,,,A,3（中）,5（好）,,,,,,,,,,,,
441,A-B-D-002,B（单选题）,,在操作系统中，负责内存管理的组件是（）。,文件系统,内核,驱动程序,用户界面,,,B,2（易）,5（好）,,,,,,,,,,,,
442,A-B-D-002,B（单选题）,,（）。选项是开源操作系统,Windows,macOS,Linux,iOS,,,C,2（易）,5（好）,,,,,,,,,,,,
443,A-B-D-002,C（判断题）,,在无人机操作系统中，实时操作系统（RTOS）通常被用于飞行控制系统，因为它能够确保任务按严格的时间要求完成，避免延迟对飞行安全造成影响。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
444,A-B-D-002,C（判断题）,,无人机使用的计算机操作系统必须具备高效的任务调度能力和强大的资源管理功能，以确保多任务并行处理，同时保持系统稳定性和低功耗。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
445,A-B-D-003,B（单选题）,,在计算机操作系统中，“虚拟内存”的主要作用是（）。,允许计算机运行比物理内存更大的程序,增加物理内存容量,提高CPU速度,提供存储设备驱动,操作系统的题，与细目表中的.网络知识无关,,A,3（中）,5（好）,,,,,,,,,,,,
446,A-B-D-003,B（单选题）,,（）。不是操作系统的主要功能,处理器管理,网络浏览,内存管理,文件和存储管理,,,B,3（中）,5（好）,,,,,,,,,,,,
447,A-B-D-003,B（单选题）,,操作系统的核心部分，负责管理系统资源和硬件的是（）。,文件系统,驱动程序,应用程序,内核,,,B,3（中）,5（好）,,,,,,,,,,,,
448,A-B-D-003,B（单选题）,,操作系统的主要职责之一是管理计算机的硬件资源（）。不属于硬件资源,CPU,内存,显示器,软件应用,,,D,3（中）,5（好）,,,,,,,,,,,,
449,A-B-D-003,C（判断题）,,无人机计算机网络的组成通常包括数据链路层、网络层、传输层和应用层，以确保数据从飞行控制系统到地面站的有效传输和实时反馈。（）,正确,错误,,,无人机的网络与普通计算机网络是不相同的,,A,3（中）,5（好）,,,,,,,,,,,,
450,A-B-D-003,C（判断题）,,在无人机的计算机网络中，网络层主要负责地址分配和路由选择，确保飞行控制系统与其他设备（如传感器、地面站）之间的数据能够在不同网络环境中正确传输。（）,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,,,,
451,A-B-D-004,B（单选题）,,无人机计算机网络的组成包括（）。,数据链路层,网络层,传输层,应用层,这是单选题,,ABCD,3（中）,5（好）,,,,,,,,,,,,
452,A-B-D-004,B（单选题）,,（）。是DDoS攻击,拒绝服务攻击,分布式拒绝服务攻击,数据驱动的拒绝服务攻击,集中式拒绝服务攻击,,,B,3（中）,5（好）,,,,,,,,,,,,
453,A-B-D-004,B（单选题）,,为了保护计算机不受恶意软件的侵害，（）。做法是最有效的,定期清理计算机垃圾文件,从不下载未知来源的文件,安装和更新防病毒软件,仅使用计算机进行文字处理,,,C,2（易）,5（好）,,,,,,,,,,,,
454,A-B-D-004,B（单选题）,,为了保护个人隐私，（）。密码设置方法是不推荐的,所有账户使用相同的密码,使用包含数字、字母和特殊字符的复杂密码,定期更换密码,使用密码管理器生成和存储密码,,,A,2（易）,5（好）,,,,,,,,,,,,
455,A-B-D-004,C（判断题）,,安装一款正版杀毒软件后，计算机就绝对安全，不会受到任何病毒或恶意软件的攻击。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
456,A-B-D-004,C（判断题）,,只要不连接互联网，计算机就不需要进行安全防护。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
457,A-B-D-005,B（单选题）,,在无人机调试过程中，（）。软件通常用于配置和调试飞控系统,QGroundControl,Adobe Photoshop,Microsoft Excel,Google Earth,,,A,3（中）,5（好）,,,,,,,,,,,,
458,A-B-D-005,B（单选题）,,（）。不属于无人机调试软件的主要功能,代码编写,测试执行,错误诊断,报告生成,,,A,3（中）,5（好）,,,,,,,,,,,,
459,A-B-D-005,B（单选题）,,无人机调试软件中的“地面控制站（GCS）”主要用于功能（）。,调整无人机的外观设计,实时监控飞行状态,提供飞行时的电池电量,计算飞行路径规划,,,B,2（易）,5（好）,,,,,,,,,,,,
460,A-B-D-005,B（单选题）,,无人机调试软件中的“校准传感器”功能是为了（）。,更改飞行模式,检查电池电量,确保传感器准确无误,修改遥控器设置,,,C,2（易）,5（好）,,,,,,,,,,,,
461,A-B-D-005,C（判断题）,,无人机调试软件可以随意从任何非官方渠道下载，不会对无人机的调试产生安全风险。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
462,A-B-D-005,C（判断题）,,只要无人机能正常飞行，就不需要使用调试软件对其进行参数检查和更新。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
463,A-B-D-006,B（单选题）,,（）。软件通常用于无人机的飞行路径规划和模拟,AdobePhotoshop,MissionPlanner,MicrosoftWord,GoogleChrome,,,B,3（中）,5（好）,,,,,,,,,,,,
464,A-B-D-006,B（单选题）,,用于无人机实时参数监控和调试的软件是（）。,MAVProxy,Excel,PowerPoint,AutoCAD,,,A,3（中）,5（好）,,,,,,,,,,,,
465,A-B-D-006,B（单选题）,,（）。软件可以用于无人机的仿真测试和开发环境,Gazebo,UnrealEngine,Audacity,Blender,,,A,2（易）,5（好）,,,,,,,,,,,,
466,A-B-D-006,B（单选题）,,无人机飞控软件开发中，常用的编程环境软件是（）。,VLCMediaPlayer,iTunes,VisualStudioCode,Spotify,,,C,2（易）,5（好）,,,,,,,,,,,,
467,A-B-D-006,C（判断题）,,大疆的Assistant2调参软件仅适用于大疆的消费级无人机。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
468,A-B-D-006,C（判断题）,,Betaflight调参软件只支持多旋翼无人机，不支持固定翼无人机。（）,正确,错误,,,,,B,2（易）,5（好）,,,,,,,,,,,,
469,A-B-D-007,B（单选题）,,主要用于文档的创建、编辑、排版和格式化，广泛应用于报告、论文、简历等文档的制作，（）。是常用软件,Excel,PowerPoint,Word,Access,,,C,2（易）,5（好）,,,,,,,,,,,,
470,A-B-D-007,B（单选题）,,专门用于电子表格的创建、数据输入、处理、分析和可视化，支持复杂的数据计算和图表生成的软件是（）。,Word,Excel,PowerPoint,Outlook,,,B,2（易）,5（好）,,,,,,,,,,,,
471,A-B-D-007,B（单选题）,,用于制作幻灯片、演示文稿和演示报告，支持文本、图片、音频和视频等多种元素的整合与展示的软件是（）。,Excel,Word,PowerPoint,Access,,,C,3（中）,5（好）,,,,,,,,,,,,
472,A-B-D-007,B（单选题）,,用于数据的定义、存储、查询、更新和管理，支持数据的结构化存储和高效检索的系统软件是（）。,PowerPoint,Word,Access,Outlook,,,C,3（中）,5（好）,,,,,,,,,,,,
473,A-B-D-007,C（判断题）,,常用办公软件仅包括文档处理软件和电子表格软件。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
474,A-B-D-007,C（判断题）,,Microsoft Access 是一款专注于数据分析和处理的大数据分析工具，而非用于创建数据库。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
475,A-B-D-008,B（单选题）,,在Excel中，若要对数据进行筛选，以便只显示满足特定条件的行，应使用的功能是（）。,排序功能,条件格式,筛选器（在数据选项卡下）,查找和替换,,,C,3（中）,5（好）,,,,,,,,,,,,
476,A-B-D-008,B（单选题）,,若要在Word中实现多人同时编辑文档，并实时查看他人的更改，应使用的功能是（）。,将文档保存为PDF格式,使用“共享”功能并邀请他人协作,将文档打印出来，然后分发给团队成员,插入选项卡下的“批注”功能（注：此选项与实时协作不直接相关）,,,B,2（易）,5（好）,,,,,,,,,,,,
477,A-B-D-008,B（单选题）,,在PowerPoint中，若要添加一张新的幻灯片，应点击的按钮是（）。,“文件”选项卡下的“新建”,“开始”选项卡下的“新建幻灯片”,幻灯片浏览窗格中的“+”图标,右键点击现有幻灯片，选择“新建幻灯片”,,,B,1（较易）,5（好）,,,,,,,,,,,,
478,A-B-D-008,B（单选题）,,在Excel中，若要对表格中的数据按某一列进行排序，应执行的操作是（）。,使用“开始”选项卡下的“条件格式”,点击该列标题，选择排序方式（升序或降序）,在“数据”选项卡下，选择“筛选”功能,插入新的列来手动排序,,,B,3（中）,5（好）,,,,,,,,,,,,
479,A-B-D-008,C（判断题）,,在文字处理软件中，只能通过鼠标来进行文本的选中操作。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
480,A-B-D-008,C（判断题）,,在电子表格软件中，函数的参数是固定不变的，不能根据具体需求修改。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
481,A-B-E-001,B（单选题）,,用人单位违反劳动保护法的规定，对劳动者造成损害的，应当承担（）。责任,经济赔偿责任,行政责任,刑事责任,民事责任,,,D,3（中）,5（好）,,,,,,,,,,,,
482,A-B-E-001,B（单选题）,,劳动保护的主要目的是（）。,增加工作时间,提高工作效率,保障员工健康和安全,减少企业利润,,,C,1（较易）,5（好）,,,,,,,,,,,,
483,A-B-E-001,B（单选题）,,劳动保护措施包括（）。,工作环境、设备、培训等,工资、福利、假期等,工作时间、休息时间、加班费等,员工的个人喜好,,,A,2（易）,5（好）,,,,,,,,,,,,
484,A-B-E-001,B（单选题）,,劳动保护对于经济发展有（）。的作用,阻碍经济发展,促进经济可持续发展,增加企业负担,减少就业机会,,,B,2（易）,5（好）,,,,,,,,,,,,
485,A-B-E-001,C（判断题）,,劳动保护只涉及到劳动者在工作场所的人身安全，不包括心理健康。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
486,A-B-E-001,C（判断题）,,只要劳动者自己注意安全，用人单位就不需要提供劳动保护用品。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
487,A-B-E-002,B（单选题）,,在安全生产工作中，必须坚持“谁主管、谁负责”的原则请问，“谁主管”是指（）。,女职工和未成年工特殊保护,各级党委及其领导成员,各级安全生产监督管理部门,各级企业事业单位的主要负责人,,,D,3（中）,5（好）,,,,,,,,,,,,
488,A-B-E-002,B（单选题）,,安全生产的“四不放过”原则是（）。,事故原因未查清不放过、责任人未处理不放过、整改措施未落实不放过、有关人员未受到教育不放过,事故损失未赔偿不放过、责任人未处理不放过、整改措施未落实不放过、受害者未安抚不放过,事故原因未查清不放过、受害者未安抚不放过、整改措施未落实不放过、有关人员未受到教育不放过,事故原因未查清不放过、责任人未处理不放过、受害者未安抚不放过、有关人员未受到教育不放过,,,A,2（易）,5（好）,,,,,,,,,,,,
489,A-B-E-002,B（单选题）,,安全生产的“三同时”原则指的是（）。,同时设计、同时施工、同时投产,同时计划、同时实施、同时总结,同时设计、同时施工、同时验收,同时设计、同时施工、同时投产使用,,,D,2（易）,5（好）,,,,,,,,,,,,
490,A-B-E-002,B（单选题）,,安全生产的"预防为主"原则的核心内容是（）。,强调事故后果的补偿,强调消除事故隐患并防范风险,强调事后追责和整改,强调生产效率高于安全,,,B,2（易）,5（好）,,,,,,,,,,,,
491,A-B-E-002,C（判断题）,,在安全生产中，只要最终产品质量合格，稍微违反一点安全原则也是可以的。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
492,A-B-E-002,C（判断题）,,安全生产原则只适用于一线生产工人，管理人员不需要遵循。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
493,A-B-E-003,B（单选题）,,（）。最适合用于防火墙建设,木材,石膏板,钢筋混凝土,泡沫塑料,,,C,3（中）,5（好）,,,,,,,,,,,,
494,A-B-E-003,B（单选题）,,（）。是有效的消防安全措施之一,定期进行消防演练,只在发生火灾时进行处理,让员工自行判断火灾危险,关闭所有电器设备即可避免火灾,,,A,3（中）,5（好）,,,,,,,,,,,,
495,A-B-E-003,B（单选题）,,如果身上着火了，应该（）。自救,快速奔跑呼救,就地打滚将火苗压灭,用手拍打火焰,穿过浓烟区域寻找出口,,,B,2（易）,5（好）,,,,,,,,,,,,
496,A-B-E-003,B（单选题）,,无人机作业现场，应确保有足够的消防器材，并且其配置应依据标准（）。,仅根据场地大小配置,根据作业种类和火灾风险评估配置,只需配置灭火器即可,只在无人机起火时才使用消防器材,,,A,1（较易）,5（好）,,,,,,,,,,,,
497,A-B-E-003,C（判断题）,,只要安装了火灾自动报警系统，就可以完全不用担心火灾发生了。（）,正确,错误,,,,,B,1（较易）,5（好）,,,,,,,,,,,,
498,A-B-E-003,C（判断题）,,消防通道在没有火灾的时候可以临时堆放一些物品。（）,正确,错误,,,,,B,1（较易）,5（好）,,,,,,,,,,,,
499,A-B-E-004,B（单选题）,,在重大事故应急救援体系中，（）。组织的重要职责是尽可能、尽快地控制并消除事故，营救受害人员,应急救援专家组,医疗救治,消防与抢险,洗消去污组织,,,C,1（较易）,5（好）,,,,,,,,,,,,
500,A-B-E-004,B（单选题）,,根据《生产安全事故报告和调查处理条例》规定，事故发生后，（）。应当立即向本单位负责人报告,单位主要负责人,事故受害者,事故目击者,现场安全员,,,A,3（中）,5（好）,,,,,,,,,,,,
501,A-B-E-004,B（单选题）,,地方各级人民政府应急管理部门的应急预案，应当报（）。级别的人民政府备案,市级,县级,省级,国家级,,,B,2（易）,5（好）,,,,,,,,,,,,
502,A-B-E-004,B（单选题）,,生产经营单位的应急预案经评审或者论证后，由（）。签署,主要负责人,部门经理,安全总监,工会主席,,,A,1（较易）,5（好）,,,,,,,,,,,,
503,A-B-E-004,C（判断题）,,小型企业由于人员和规模较小，不需要制定安全生产事故应急救援预案。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
504,A-B-E-004,C（判断题）,,安全生产事故应急救援预案一旦制定就无需修改。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,,,,
505,A-B-E-005,B（单选题）,,（）。不属于清洁能源,太阳能,风能,石油,水能,,,C,3（中）,5（好）,,,,,,,,,,,,
506,A-B-E-005,B（单选题）,,（）。的行为不利于环境保护,减少使用一次性塑料制品,积极参与植树造林活动,定期清理自家垃圾并分类投放,随意乱扔废弃物,,,D,3（中）,5（好）,,,,,,,,,,,,
507,A-B-E-005,B（单选题）,,不属于工业污染控制的是（）。,安装净化装置,排放未经处理的废水,使用清洁能源,回收利用废弃物,,,B,2（易）,5（好）,,,,,,,,,,,,
508,A-B-E-005,B（单选题）,,不符合节能减排的理念是（）。,分类投放垃圾,随意丢弃废电池,使用节能灯泡,骑自行车出行,,,B,1（较易）,5（好）,,,,,,,,,,,,
509,A-B-E-005,C（判断题）,,个人在日常生活中的行为对环境保护影响不大，所以不需要特别注意。（）,正确,错误,,,,,B,1（较易）,5（好）,,,,,,,,,,,,
510,A-B-E-005,C（判断题）,,只要企业安装了先进的污染处理设备，就可以随意排放污染物。（）,正确,错误,,,,,B,1（较易）,5（好）,,,,,,,,,,,,
511,A-B-E-006,B（单选题）,,为了减少无人机的环境影响，以下（）措施不是有效的。,优化无人机的设计和飞行路径,采取更加环保的燃料和飞行技术,增加无人机的使用频率,提高无人机的能源效率,,,C,3（中）,5（好）,,,,,,,,,,,,
