题目ID,题目陈述,题目类型,内容分类,难度等级,分值,是否启用,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,题目解析,出题人,创建时间,最后修改时间
01261,碳纤维复合材料的环境适应性的描述，正确的是（ ）,多选题,结构组成,中等,3,是,在高湿度环境下，其性能可能会受到影响，如吸湿后强度下降,在沙尘环境中，其表面耐磨性能好，不会出现磨损,在紫外线长期照射下，可能会出现表面老化现象,在低温环境下，其韧性会增加，有利于承受冲击,在高温环境下，其性能保持相对稳定，但超过一定温度后性能会下降,,在高湿度环境下，其性能可能会受到影响，如吸湿后强度下降;在紫外线长期照射下，可能会出现表面老化现象;在高温环境下，其性能保持相对稳定，但超过一定温度后性能会下降,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01262,木质材料通常具有（）显著的物理性质。,单选题,结构组成,中等,2,是,高导电性,高密度与低导热性,优良的透明性,较低的密度和良好的隔热性,,,较低的密度和良好的隔热性,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01263,在力学性能方面，木质材料的一个显著优势是（）。,单选题,结构组成,中等,2,是,极高的抗压强度,较差的抗弯强度,优秀的抗拉强度与一定的韧性,极易破碎,,,优秀的抗拉强度与一定的韧性,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01264,木质材料因（）常被用于提升产品的美观性。,单选题,结构组成,中等,2,是,鲜艳的颜色和光泽,独特的纹理和色泽,平滑的表面触感,强烈的反光效果,,,独特的纹理和色泽,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01265,木质材料的吸湿性对其有影响的是（）。,单选题,结构组成,中等,2,是,吸水后强度显著增加,几乎不吸水，对性能无影响,吸水后易导致尺寸变化和性能下降,吸水性能取决于表面处理,,,吸水后易导致尺寸变化和性能下降,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01266,木质材料的吸湿性是因为木材会和水发生化学反应，吸收水分。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01267,木材的细胞结构使其具有一定的吸声性能，可用于减少室内回声。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01268,可以提高木质材料的耐久性方法有（）。,多选题,结构组成,中等,3,是,防腐处理，如用防腐剂浸渍木材,表面涂漆，形成保护膜，阻止水分和空气进入,干燥处理，将木材含水率控制在合适范围,增加木材的湿度，使其处于高湿度环境,碳化处理，改变木材的化学结构,,防腐处理，如用防腐剂浸渍木材;表面涂漆，形成保护膜，阻止水分和空气进入;干燥处理，将木材含水率控制在合适范围;碳化处理，改变木材的化学结构,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01269,关于木材密度的描述，正确的有（）。,多选题,结构组成,中等,3,是,木材密度与木材的重量和体积有关，密度 = 质量 / 体积,密度大的木材通常强度较高，但不是绝对的,木材密度可以通过改变木材的含水率来调整,不同种类木材密度差异较大，可用于鉴别木材种类,木材密度只与木材细胞的大小有关，与细胞壁厚度无关,,木材密度与木材的重量和体积有关，密度 = 质量 / 体积;密度大的木材通常强度较高，但不是绝对的;不同种类木材密度差异较大，可用于鉴别木材种类,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01270,塑料在制造过程中通常需要添加的物质是（）。,单选题,结构组成,中等,2,是,稳定剂,颜料,填充剂,润滑剂,,,颜料,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01271,塑料的主要缺点是（）。,单选题,结构组成,中等,2,是,易变形,不易降解,易老化,易燃易爆,,,不易降解,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01272,塑料相比金属材料的一大优势是（）。,单选题,结构组成,中等,2,是,更高的熔点,更强的抗拉强度,更轻的重量,更好的导电性,,,更轻的重量,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01273,塑料在无人机制造中最常见的应用是（）。,单选题,结构组成,中等,2,是,结构框架,电路连接器,电机,螺旋桨叶片,,,螺旋桨叶片,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01274,注塑成型的无人机塑料零件，其尺寸精度完全由模具决定，与塑料材料本身特性无关。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01275,用于无人机螺旋桨的塑料材料，其硬度越高越好，这样能保证螺旋桨的效率。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:30
01276,无人机的塑料螺旋桨需要具备（）特性。,多选题,结构组成,中等,3,是,较高的强度 和重量比，以保证在旋转时的稳定性和效率,良好的耐疲劳性，能够承受长时间的旋转应力,合适的柔韧性，减少因振动而断裂的风险,较低的吸水性，防止因吸水导致性能下降,较高的热膨胀系数，能适应不同温度环境下的尺寸变化,,较高的强度 和重量比，以保证在旋转时的稳定性和效率;良好的耐疲劳性，能够承受长时间的旋转应力;合适的柔韧性，减少因振动而断裂的风险;较低的吸水性，防止因吸水导致性能下降,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01277,对于无人机的塑料连接部件（如螺丝、卡扣等），需要考虑的特性有（）。,多选题,结构组成,中等,3,是,足够的强度，确保连接的可靠性,良好的耐化学性，防止被化学物质腐蚀而损坏,合适的透明度，方便观察内部结构,与相连部件材料的兼容性，避免出现不相容问题,尺寸稳定性，在不同环境条件下能保持精确的尺寸，保障连接精度,,足够的强度，确保连接的可靠性;良好的耐化学性，防止被化学物质腐蚀而损坏;与相连部件材料的兼容性，避免出现不相容问题;尺寸稳定性，在不同环境条件下能保持精确的尺寸，保障连接精度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01278,玻璃纤维材料因其（）广泛应用于高温环境。,单选题,结构组成,中等,2,是,良好的导电性,高耐热性,易燃性,高吸湿性,,,高耐热性,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01279,玻璃纤维材料相比金属材料，在（）下更具优势。,单选题,结构组成,中等,2,是,强磁场环境,导电性能要求高的场合,腐蚀性介质环境,高压环境,,,腐蚀性介质环境,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01280,玻璃纤维材料常用于增强塑料等复合材料中，主要因（）。,单选题,结构组成,中等,2,是,绝缘性好,机械强度高,重量重,吸湿性高,,,机械强度高,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01281,在电气工程中，玻璃纤维材料常被用作（）。,单选题,结构组成,中等,2,是,导电材料,绝缘材料,磁性材料,半导体材料,,,绝缘材料,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01282,玻璃纤维在紫外线长时间照射下不会发生性能变化。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01283,玻璃纤维在断裂前不会发生明显的变形，属于脆性材料。（）,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01284,玻璃纤维在电气绝缘方面表现出色，这主要得益于它的（）特性。,多选题,结构组成,中等,3,是,低导电性，其电阻率很高,耐湿性好，即使在潮湿环境下也能保持绝缘性能,可以阻止电子的迁移，因为其内部结构紧密,耐高温，在一定高温范围内不会失去绝缘性能,化学稳定性高，在复杂化学环境中不会被腐蚀而影响绝缘性能,,低导电性，其电阻率很高;可以阻止电子的迁移，因为其内部结构紧密;耐高温，在一定高温范围内不会失去绝缘性能;化学稳定性高，在复杂化学环境中不会被腐蚀而影响绝缘性能,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01285,玻璃纤维在复合材料中的应用广泛，主要是因为它能为复合材料带来（ ）。,多选题,结构组成,中等,3,是,增强的机械性能，提高复合材料的强度和模量,改善的耐疲劳性能，延长复合材料的使用寿命,更好的尺寸稳定性，减少复合材料在温度和湿度变化时的变形,增强的抗老化性能，降低复合材料受外界环境影响而老化的速度,增加的导热性能，使复合材料能够快速散热,,增强的机械性能，提高复合材料的强度和模量;改善的耐疲劳性能，延长复合材料的使用寿命;更好的尺寸稳定性，减少复合材料在温度和湿度变化时的变形,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01286,使用螺丝刀时，（）握持方式是不正确的。,单选题,结构组成,中等,2,是,用手掌握住螺丝刀的手柄,用拇指和食指捏住螺丝刀的刀柄,用指尖轻触螺丝刀的刀柄,用整个手掌握住螺丝刀的手柄，手指环绕手柄,,,用指尖轻触螺丝刀的刀柄,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01287,当螺丝刀的刀头磨损或损坏时，（）做法是正确的。,单选题,结构组成,中等,2,是,更换新的螺丝刀,使用钳子强行拧动螺丝,用锉刀自行修磨刀头,继续使用，直到完全不能用为止,,,更换新的螺丝刀,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01288,使用螺丝刀拧紧螺丝时，（）力是不应该施加的。,单选题,结构组成,中等,2,是,侧向力,旋转力,轴向压力,轴向拉力,,,侧向力,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01289,当螺丝刀无法拧动紧固的螺丝时，（）做法是正确的。,单选题,结构组成,中等,2,是,使用合适的润滑油或松动剂，然后轻轻拧动,使用螺丝刀的刀头作为撬棍,使用螺丝刀的刀柄敲击螺丝,用更大的力气强行拧动,,,使用合适的润滑油或松动剂，然后轻轻拧动,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01290,可以使用螺丝刀拆卸无人机螺旋桨上的螺丝来更换不同尺寸的螺旋桨，而无需考虑其他因素。 ( ),单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01291,在调整无人机相机支架螺丝时，不需要对螺丝刀进行任何清洁处理，直接使用即可。 ( ),单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01292,（）可能需要使用螺丝刀来维护无人机。,多选题,结构组成,中等,3,是,更换螺旋桨,清洁电机,安装飞行控制器,检查电池连接线,擦拭无人机表面,,更换螺旋桨;清洁电机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01293,在使用螺丝刀对无人机进行维修时，为了防止静电损坏电子元件，正确的做法是（ ）。,多选题,结构组成,中等,3,是,使用防静电螺丝刀,佩戴防静电手环,将无人机接地,用湿布擦拭螺丝刀,在防静电工作台上进行操作,,使用防静电螺丝刀;佩戴防静电手环;将无人机接地;在防静电工作台上进行操作,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01294,铝合金在常温下的塑性变形能力较差，因此主要用于制造（）。,单选题,结构组成,中等,2,是,压力容器,飞机零件,箱包外壳,建筑门窗,,,建筑门窗,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01295,适合用于制作厨房用具的铝合金是（）。,单选题,结构组成,中等,2,是,铝-镁合金,铝-铜合金,铝-硅合金,铝-锌合金,,,铝-锌合金,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01296,铝合金在无人机制造中的主要优点是（）。,单选题,结构组成,中等,2,是,高强度,重量大,硬度高,维护成本低,,,高强度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01297,铝合金在无人机制造中主要用于（）。,单选题,结构组成,中等,2,是,机身框架,发动机,电子设备,传感器,,,机身框架,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01298,铝合金的弹性模量比塑料高。 ( ),单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01299,无人机使用铝合金材料主要是因为其密度大，可以增加无人机的稳定性。 ( ),单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01300,铝合金在无人机中应用的主要优势有（）。,多选题,结构组成,中等,3,是,轻质，能够减轻无人机整体重量,高强度，提供必要的结构支撑,良好的电导性，适合电路传输,良好的耐腐蚀性，适应多变环境,易于加工，制造成本低,,轻质，能够减轻无人机整体重量;高强度，提供必要的结构支撑;良好的耐腐蚀性，适应多变环境,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01301,铝合金的（）特性使其成为无人机外壳和机架的理想材料。,多选题,结构组成,中等,3,是,易于加工成型,较高的熔点，耐高温性能好,高抗拉强度,良好的抗氧化能力,良好的耐腐蚀性能,,易于加工成型;高抗拉强度;良好的抗氧化能力,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01302,无人机机体结构中，（）部件不直接参与飞行动力的产生。,单选题,结构组成,中等,2,是,电机,螺旋桨,电池,机架,,,机架,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01303,在多旋翼无人机中，用于保持无人机稳定的部件是（）。,单选题,结构组成,中等,2,是,电机,电池,遥控器,飞控系统,,,飞控系统,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01304,在无人机机体结构中，用于传输飞控系统指令的部件是（）。,单选题,结构组成,中等,2,是,电调,GPS模块,电机,遥控器,,,电调,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01305,无人机机体结构中，用于接收和发送无线信号的部件是（）。,单选题,结构组成,中等,2,是,无线图传模块,遥控器,飞控系统,电机,,,无线图传模块,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01306,无人机的机体结构通常由机身、机翼、动力系统、控制系统和传感器等部分组成。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01307,无人机的机体结构中，控制系统仅包括飞行控制器，不涉及其他飞行器的控制部件。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01308,（）部分通常属于无人机的机体结构。,多选题,结构组成,中等,3,是,机架（框架、支撑结构）,电池,摄像头,动力系统（电机、推进器等）,飞行控制器,,机架（框架、支撑结构）;动力系统（电机、推进器等）,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01309,（）是无人机机体结构中可能用到的材料。,多选题,结构组成,中等,3,是,铝合金,碳纤维,塑料,钛合金,玻璃纤维,,铝合金;碳纤维;塑料;钛合金,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01310,无人机动力系统中，电机的主要作用是（）。,单选题,结构组成,中等,2,是,提供无人机飞行所需的电力,控制无人机的飞行方向,将电能转化为机械能，驱动螺旋桨旋转,储存无人机所需的能量,,,将电能转化为机械能，驱动螺旋桨旋转,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01311,无人机电机的KV值指的是（）。,单选题,结构组成,中等,2,是,电机每伏电压提升带来的每分钟转速的增加量,电机的电压,电机的电流,电机的功率,,,电机每伏电压提升带来的每分钟转速的增加量,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01312,无人机电机的电调（电子调速器）的主要作用是（）。,单选题,结构组成,中等,2,是,调节电机的电压,储存电能,转换电能为机械能,根据控制信号调节电动机的转速,,,根据控制信号调节电动机的转速,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01313,无人机电机的外壳内直径和高度通常（）表示。,单选题,结构组成,中等,2,是,以毫米为单位，前两位代表直径，后两位代表高度,以英寸为单位，前两位代表直径，后两位代表高度,以毫米为单位，前两位代表高度，后两位代表直径,以英寸为单位，前两位代表高度，后两位代表直径,,,以毫米为单位，前两位代表直径，后两位代表高度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01314,无人机电机的转子部分是负责旋转并驱动螺旋桨产生推力的关键部件。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01315,电调（ESC）是无人机电机机械结构的组成部分，它负责直接产生推力。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01316,（）部件是无人机电机机械结构的常见组成部分。,多选题,结构组成,中等,3,是,电机壳体,电调（ESC）,电池,转子,推进器,,电机壳体;电调（ESC）;转子;推进器,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01317,在无人机的电机机械结构中，（）负责转动和产生推力。,多选题,结构组成,中等,3,是,电调（ESC）,转子,螺旋桨,定子,风扇,,转子;螺旋桨,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01318,无人机机械装配中，用于校准和调整设备精度的工具是（）。,单选题,结构组成,中等,2,是,长度规,角度尺,水平仪,坐标测量机,,,坐标测量机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01319,在无人机机械装配中，（）用于测量角度和弧度的工具。,单选题,结构组成,中等,2,是,圆规,弧度尺,半圆规,角度尺,,,弧度尺,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01320,在无人机的装配过程中为了高效及方便省力，（）工具被广泛用于拧紧螺丝和螺母。,单选题,结构组成,中等,2,是,手动扳手,气动扳手,电动扳手,焊枪,,,电动扳手,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01321,无人机装配完成后，通常使用（）进行最终的质量检查。,单选题,结构组成,中等,2,是,三坐标测量机,微米螺旋测微仪,激光扫描仪,游标卡尺,,,三坐标测量机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01322,在无人机的装配过程中，使用游标卡尺可以精确测量零部件的外径、内径和深度。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01323,在无人机装配过程中，扭矩扳手用于测量螺栓的长度。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01324,在无人机装配过程中，（）可以用来测量零部件的尺寸和精度。,多选题,结构组成,中等,3,是,游标卡尺,千分尺,扭矩扳手,测深仪,直尺,,游标卡尺;千分尺;测深仪,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01325,在无人机装配过程中，（）工具是常见的装配工具，用于组装和固定无人机各个零部件。,多选题,结构组成,中等,3,是,扭矩扳手,螺丝刀,钳子,手动钻孔机,扳手,,扭矩扳手;螺丝刀;钳子;手动钻孔机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01326,当使用扭力扳手拧紧螺栓或螺母时，应该（）。,单选题,结构组成,中等,2,是,快速、大力地拧紧,缓慢、轻柔地拧紧,慢慢用力，直到感觉到阻力,猛烈地用尽全力拧紧,,,慢慢用力，直到感觉到阻力,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01327,使用扭力扳手时，预设扭矩值是为（）。,单选题,结构组成,中等,2,是,为了确保螺栓或螺母不会过紧或过松,为了测量螺栓或螺母的大小,为了确定螺栓或螺母的材质,为了计算所需的力量,,,为了确保螺栓或螺母不会过紧或过松,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01328,在使用扭力扳手时，应该先调整到（）。,单选题,结构组成,中等,2,是,最小扭矩值,中间扭矩值,预期扭矩值,最大扭矩值,,,最大扭矩值,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01329,当扭力扳手发出“click”声时代表（）。,单选题,结构组成,中等,2,是,已达到预设扭矩值,需要继续施加力量,扭矩值过低,扭矩值过高,,,已达到预设扭矩值,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01330,在使用扭矩扳手时，应尽量用力快速施加，以确保扭矩值准确。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01331,使用扭矩扳手时，设置的扭矩值应该根据制造商的推荐值来调整。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01332,在使用扭矩扳手时操作正确的是（）。,多选题,结构组成,中等,3,是,使用前先调节扭矩扳手的设定值，以确保紧固力矩符合要求,用力过猛，不要等到扭矩扳手发出“咔哒”声才停止施力,使用扭矩扳手时，手应放在柄部中心位置,扭矩扳手只需进行单向操作，不可逆转,在施加扭矩时，保持扭矩扳手和被紧固物件之间的垂直状态,,使用前先调节扭矩扳手的设定值，以确保紧固力矩符合要求;使用扭矩扳手时，手应放在柄部中心位置;在施加扭矩时，保持扭矩扳手和被紧固物件之间的垂直状态,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01333,在使用扭矩扳手进行无人机装配时，操作步骤正确的是（）。,多选题,结构组成,中等,3,是,在开始施加扭矩之前，确保螺纹清洁并涂抹润滑剂,扭矩扳手应该用作日常的常规工具进行每一次的紧固操作,扭矩设置应该根据制造商的推荐值调整,扭矩扳手用完后，应立即重置为零,执行每次紧固前，检查扭矩扳手的准确性并进行校准,,在开始施加扭矩之前，确保螺纹清洁并涂抹润滑剂;扭矩设置应该根据制造商的推荐值调整;扭矩扳手用完后，应立即重置为零,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01334,在使用万用表之前，首先应进行（）操作。,单选题,结构组成,中等,2,是,直接测量,插入电池,选择合适的量程档位,关机,,,选择合适的量程档位,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01335,为了确保测量准确，使用万用表前应检查的项目有（）。,单选题,结构组成,中等,2,是,电池电量是否充足,直接插入被测电路,无需任何准备,仅选择量程档位,,,电池电量是否充足,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01336,使用万用表测量直流电压时，选择档位并连接测试笔说法正确的是（）。,单选题,结构组成,中等,2,是,选择交流电压档位，红笔接负极，黑笔接正极,选择直流电压档位，红笔接正极，黑笔接负极,选择电阻档位，测试笔随意连接,选择电流档位，串联接入电路,,,选择直流电压档位，红笔接正极，黑笔接负极,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01337,使用万用表测量电阻时，应注意的事项是（）。,单选题,结构组成,中等,2,是,测量前无需断开电源,选择合适的电阻档位，测试笔直接接触电阻两端,选择电流档位，串联接入电路,选择电压档位，并联接入电路,,,选择合适的电阻档位，测试笔直接接触电阻两端,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01338,在使用万用表测量无人机电池电压时，应该先将万用表设置为电流（A）档，再连接电池两端的测试探针。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01339,使用万用表测量无人机电路中的电阻时，应确保电源已经关闭，以避免损坏万用表或电路。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01340,在使用万用表测量无人机电池电压时，操作正确的是（）。,多选题,结构组成,中等,3,是,应将万用表设置为直流电压（DCV）档,应将万用表设置为交流电压（ACV）档,将红色探针连接到电池的正极，黑色探针连接到负极,在测量时万用表需要接入电路，不能脱离电池进行测量,在测量之前，确认万用表的电池电压测量范围是否足够覆盖待测电池的电压,,应将万用表设置为直流电压（DCV）档;将红色探针连接到电池的正极，黑色探针连接到负极;在测量之前，确认万用表的电池电压测量范围是否足够覆盖待测电池的电压,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01341,在使用万用表测量无人机电路的电阻时，操作步骤是正确的为（）。,多选题,结构组成,中等,3,是,应确保电路没有通电,应将万用表设置为电流档（A）进行测量,测量前应断开电路中的电源，以避免损坏万用表,应将万用表设置为电阻档（Ω）进行测量,在测量电阻前，确认万用表的测量范围是否足够覆盖待测电阻的值,,应确保电路没有通电;测量前应断开电路中的电源，以避免损坏万用表;应将万用表设置为电阻档（Ω）进行测量,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01342,无人机的机械装配中，（）是最常用工具。,单选题,结构组成,中等,2,是,刷子,螺丝刀,锤子,热熔枪,,,螺丝刀,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01343,在无人机机械装配中，（）是最常见的连接方式。,单选题,结构组成,中等,2,是,螺纹连接,焊接连接,胶水粘合,电磁吸力连接,,,螺纹连接,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01344,在装配多旋翼无人机时，为了确保电机的平衡和对角线上的电机转动方向相反，应采取的措施是（）。,单选题,结构组成,中等,2,是,安装电机后，依靠飞控软件调整,仅依靠电机的外观来安装,使用标记或颜色编码来区分电机,仅依靠电机的型号来安装,,,使用标记或颜色编码来区分电机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01345,在无人机机械装配中，正确选择螺丝长度的方法是（）。,单选题,结构组成,中等,2,是,螺丝长度不重要，只要能拧紧即可,选择长度适中的螺丝以确保紧固,选择尽可能短的螺丝以便于安装,选择尽可能长的螺丝以确保牢固,,,选择长度适中的螺丝以确保紧固,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01346,在无人机机械装配时，所有螺钉都应紧固到位，但要避免过度拧紧，以免损坏框架或电机固定座。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01347,在装配无人机时，电池和电调连接时无需特别注意电池的极性，随便连接即可。,单选题,结构组成,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01348,在进行无人机机械装配时，操作正确的是（）。,多选题,结构组成,中等,3,是,确保所有螺钉和螺母已经紧固到位,装配时不需要检查电池仓的连接,安装电机时应确保电机和螺旋桨的方向一致,可以直接用手拧紧所有螺丝，而不需要使用扭力扳手,在装配前，检查所有连接和零部件是否正确匹配并符合规范,,确保所有螺钉和螺母已经紧固到位;安装电机时应确保电机和螺旋桨的方向一致;在装配前，检查所有连接和零部件是否正确匹配并符合规范,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01349,在无人机的机械装配过程中，步骤必需的是（）。,多选题,结构组成,中等,3,是,检查所有连接线是否牢固，并避免线缆被压住,使用适当的润滑剂来减少电机的摩擦,确保框架和机身的对接面清洁，无异物,将电池和电调连接时无需考虑极性问题,在安装和连接电子部件时，避免静电干扰,,检查所有连接线是否牢固，并避免线缆被压住;确保框架和机身的对接面清洁，无异物;使用适当的润滑剂来减少电机的摩擦,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01350,无人机装配场地应保持良好通风，其主要目的是（ ）。,单选题,结构组成,中等,2,是,降低室内温度，提高装配舒适度,防止装配人员缺氧,排除焊接、胶接等过程产生的有害气体,让零件干燥，便于装配,,,排除焊接、胶接等过程产生的有害气体,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01351,无人机机械装配区域应保持（）的环境条件以确保安全。,单选题,结构组成,中等,2,是,杂乱无章以显示工作的繁忙,干燥且通风良好,高温高湿以测试设备耐受性,充满强烈化学气味以提高警觉性,,,干燥且通风良好,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01352,在装配有电池的无人机部件时，为避免短路起火，最重要的是（ ）。,单选题,结构组成,中等,2,是,快速完成装配，减少电池暴露时间,装配前确保双手干燥,使用绝缘工具操作,边装配边用风扇给电池降温,,,使用绝缘工具操作,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01353,在无人机机械装配过程中，使用个人防护装备的主要目的是（）。,单选题,结构组成,中等,2,是,提高装配效率,保护操作人员免受伤害,降低生产成本,增加设备美观度,,,保护操作人员免受伤害,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01354,在进行无人机机械装配时，操作人员应该佩戴安全防护眼镜和手套，以防止螺钉或其他小零件飞溅伤人。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
