题目ID,题目陈述,题目类型,题目分类,难度等级,分值,参数名称,参数描述,数据类型,正确答案,容差值,最小值,最大值,单位,需要飞控读取,验证方法,解释说明,创建人,创建时间,是否启用
00169,将GPS自动配置GPS_AUTO_CONFIG设置为1,ParameterSetting,SensorCalibration,Easy,3,GPS_AUTO_CONFIG,GPS自动配置,Integer,1,0.000000,0,2,,True,ExactMatch,启用GPS自动配置,AI生成器,2024-12-19 10:04:12,True
00170,将GPS自动切换GPS_AUTO_SWITCH设置为1,ParameterSetting,SensorCalibration,Medium,4,GPS_AUTO_SWITCH,GPS自动切换,Integer,1,0.000000,0,2,,True,ExactMatch,启用双GPS自动切换功能,AI生成器,2024-12-19 10:01:22,True
00171,设置GPS导航精度参数GPS_DELAY_MS为220毫秒,ParameterSetting,SensorCalibration,Medium,4,GPS_DELAY_MS,GPS延迟,Integer,220,0.000000,0,1000,毫秒,True,ExactMatch,GPS数据处理延迟补偿,系统,2024-01-01 10:26:00,True
00172,将GPS干扰检测GPS_GNSS_MODE设置为0,ParameterSetting,SensorCalibration,Medium,4,GPS_GNSS_MODE,GNSS模式,Integer,0,0.000000,0,5,,True,ExactMatch,使用默认GNSS模式,AI生成器,2024-12-19 10:04:09,True
00173,验证GPS抗干扰参数GPS_GNSS_MODE的配置,ParameterVerify,SensorCalibration,Hard,5,GPS_GNSS_MODE,GNSS模式,Integer,0,0.000000,0,65535,,True,ExactMatch,GPS卫星系统的使用模式,系统,2024-01-01 11:17:00,True
00174,验证良好HDOP值GPS_HDOP_GOOD是否为230,ParameterVerify,SensorCalibration,Medium,4,GPS_HDOP_GOOD,良好HDOP值,Integer,230,0.000000,100,900,,True,ExactMatch,GPS水平精度稀释的阈值,AI生成器,2024-12-19 10:00:21,True
00175,验证GPS精度参数GPS_HDOP_GOOD的阈值,ParameterVerify,SensorCalibration,Medium,4,GPS_HDOP_GOOD,GPS精度阈值,Float,200,10.000000,100,900,,True,FloatTolerance,GPS水平精度稀释的良好阈值,系统,2024-01-01 10:57:00,True
00176,设置GPS最小卫星数GPS_MIN_DGPS为6,ParameterSetting,SensorCalibration,Medium,4,GPS_MIN_DGPS,GPS最小卫星数,Integer,6,0.000000,0,10,,True,ExactMatch,差分GPS要求的最小卫星数,AI生成器,2024-12-19 10:01:23,True
00177,验证GPS导航率GPS_NAVFILTER是否为8,ParameterVerify,SensorCalibration,Medium,4,GPS_NAVFILTER,导航滤波器,Integer,8,0.000000,0,25,,True,ExactMatch,导航滤波器设置,AI生成器,2024-12-19 10:04:11,True
00178,将GPS位置偏移GPS_POS1_X设置为0,ParameterSetting,SensorCalibration,Medium,4,GPS_POS1_X,GPS1位置X,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS1相对重心X轴偏移,AI生成器,2024-12-19 10:04:03,True
00179,设置GPS位置偏移GPS_POS1_Y为0,ParameterSetting,SensorCalibration,Medium,4,GPS_POS1_Y,GPS1位置Y,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS1相对重心Y轴偏移,AI生成器,2024-12-19 10:04:04,True
00180,验证GPS位置偏移GPS_POS1_Z是否为0,ParameterVerify,SensorCalibration,Medium,4,GPS_POS1_Z,GPS1位置Z,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS1相对重心Z轴偏移,AI生成器,2024-12-19 10:04:05,True
00181,将第二GPS位置GPS_POS2_X设置为0,ParameterSetting,SensorCalibration,Medium,4,GPS_POS2_X,GPS2位置X,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS2相对重心X轴偏移,AI生成器,2024-12-19 10:04:06,True
00182,设置第二GPS位置GPS_POS2_Y为0,ParameterSetting,SensorCalibration,Medium,4,GPS_POS2_Y,GPS2位置Y,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS2相对重心Y轴偏移,AI生成器,2024-12-19 10:04:07,True
00183,验证第二GPS位置GPS_POS2_Z是否为0,ParameterVerify,SensorCalibration,Medium,4,GPS_POS2_Z,GPS2位置Z,Float,0,0.010000,-5,5,m,True,FloatTolerance,GPS2相对重心Z轴偏移,AI生成器,2024-12-19 10:04:08,True
00184,设置GPS保存配置GPS_SAVE_CFG为2,ParameterSetting,SensorCalibration,Medium,4,GPS_SAVE_CFG,GPS保存配置,Integer,2,0.000000,0,2,,True,ExactMatch,保存GPS配置到RAM和FLASH,AI生成器,2024-12-19 10:04:13,True
00185,设置GPS SBAS模式GPS_SBAS_MODE为2,ParameterSetting,SensorCalibration,Medium,4,GPS_SBAS_MODE,SBAS模式,Integer,2,0.000000,0,6,,True,ExactMatch,启用自动SBAS,AI生成器,2024-12-19 10:04:10,True
00186,验证GPS类型参数GPS_TYPE是否配置为自动,ParameterVerify,BasicParameters,Medium,4,GPS_TYPE,GPS类型,Integer,1,0.000000,0,14,,True,ExactMatch,GPS接收器的类型设置,系统,2024-01-01 10:37:00,True
00187,设置GPS类型GPS_TYPE为1,ParameterSetting,SensorCalibration,Medium,4,GPS_TYPE,GPS类型,Integer,1,0.000000,0,20,,True,ExactMatch,配置主GPS接收器类型,AI生成器,2024-12-19 10:00:20,True
00188,验证第二GPS类型GPS_TYPE2是否为0,ParameterVerify,SensorCalibration,Easy,3,GPS_TYPE2,GPS类型2,Integer,0,0.000000,0,20,,True,ExactMatch,禁用第二个GPS接收器,AI生成器,2024-12-19 10:01:21,True
00192,验证振动监测参数INS_ACCEL_FILTER的频率,ParameterVerify,SensorCalibration,Hard,5,INS_ACCEL_FILTER,加速度计滤波频率,Float,20.0,1.000000,0.0,100.0,赫兹,True,FloatTolerance,加速度计信号的低通滤波频率,系统,2024-01-01 10:53:00,True
00193,设置加速度计校准ACCEL_CAL为1,ParameterSetting,SensorCalibration,Medium,5,INS_ACCEL_FILTER,加速度计滤波,Float,20,1.000000,5,50,Hz,True,FloatTolerance,加速度计低通滤波频率,AI生成器,2024-12-19 10:00:41,True
00194,将惯导校准INS_ACCEL_FILTER设置为20,ParameterSetting,SensorCalibration,Medium,5,INS_ACCEL_FILTER,加速度计滤波,Float,20,1.000000,5,50,Hz,True,FloatTolerance,加速度计低通滤波器设置,AI生成器,2024-12-19 10:01:28,True
00195,将IMU标记掩码INS_ENABLE_MASK设置为3,ParameterSetting,SensorCalibration,Medium,4,INS_ENABLE_MASK,IMU启用掩码,Integer,3,0.000000,1,127,,True,ExactMatch,启用前两个IMU,AI生成器,2024-12-19 10:03:39,True
00196,将快速采样INS_FAST_SAMPLE设置为1,ParameterSetting,SensorCalibration,Hard,6,INS_FAST_SAMPLE,快速采样,Integer,1,0.000000,0,1,,True,ExactMatch,启用IMU快速采样,AI生成器,2024-12-19 10:03:42,True
00197,设置陀螺仪校准INS_GYR_CAL为1,ParameterSetting,SensorCalibration,Medium,5,INS_GYR_CAL,陀螺仪校准,Integer,1,0.000000,0,3,,True,ExactMatch,启用启动时陀螺仪校准,AI生成器,2024-12-19 10:03:40,True
00199,验证陀螺仪滤波频率INS_GYRO_FILTER是否为20Hz,ParameterVerify,SensorCalibration,Medium,5,INS_GYRO_FILTER,陀螺仪滤波,Float,20,1.000000,5,50,Hz,True,FloatTolerance,陀螺仪低通滤波频率,AI生成器,2024-12-19 10:00:42,True
00200,检查惯导加速度计参数INS_GYRO_FILTER的滤波器,ParameterVerify,SensorCalibration,Hard,5,INS_GYRO_FILTER,陀螺仪滤波频率,Float,0,1.000000,0,100,赫兹,True,FloatTolerance,陀螺仪信号的低通滤波频率,系统,2024-01-01 11:07:00,True
00201,设置陀螺仪校准INS_GYRO_FILTER为20,ParameterSetting,SensorCalibration,Medium,5,INS_GYRO_FILTER,陀螺仪滤波,Float,20,1.000000,5,50,Hz,True,FloatTolerance,陀螺仪低通滤波器设置,AI生成器,2024-12-19 10:01:29,True
00202,设置IMU位置偏移INS_POS1_X为0,ParameterSetting,SensorCalibration,Medium,4,INS_POS1_X,IMU1位置X,Float,0,0.010000,-5,5,m,True,FloatTolerance,IMU1相对重心X轴偏移,AI生成器,2024-12-19 10:03:43,True
00203,验证IMU位置偏移INS_POS1_Y是否为0,ParameterVerify,SensorCalibration,Medium,4,INS_POS1_Y,IMU1位置Y,Float,0,0.010000,-5,5,m,True,FloatTolerance,IMU1相对重心Y轴偏移,AI生成器,2024-12-19 10:03:44,True
00204,将IMU位置偏移INS_POS1_Z设置为0,ParameterSetting,SensorCalibration,Medium,4,INS_POS1_Z,IMU1位置Z,Float,0,0.010000,-5,5,m,True,FloatTolerance,IMU1相对重心Z轴偏移,AI生成器,2024-12-19 10:03:45,True
00208,将INS惯导系统使用个数INS_USE设置为1,ParameterSetting,SensorCalibration,Medium,4,INS_USE,惯导使用个数,Integer,1,0.000000,0,3,,True,ExactMatch,设置使用的IMU传感器数量,AI生成器,2024-12-19 10:00:40,True
00209,设置着陆检测高度LAND_ALT_LOW为1000,ParameterSetting,SafetySettings,Medium,4,LAND_ALT_LOW,低空着陆高度,Float,1000,50.000000,0,10000,cm,True,FloatTolerance,切换到慢速着陆的高度,AI生成器,2024-12-19 10:03:28,True
00211,检查着陆检测参数LAND_REPOSITION的使能状态,ParameterVerify,FlightModes,Medium,4,LAND_REPOSITION,着陆重定位,Integer,1,0.000000,0,1,,True,ExactMatch,着陆时是否允许位置调整,系统,2024-01-01 10:51:00,True
00212,设置着陆检测参数LAND_REPOSITION为1,ParameterSetting,FlightModes,Medium,4,LAND_REPOSITION,着陆重新定位,Integer,1,0.000000,0,1,,True,ExactMatch,允许着陆时自动调整位置,系统,2024-01-01 10:09:00,True
00213,将着陆检测LAND_REPOSITION设置为1,ParameterSetting,SafetySettings,Medium,4,LAND_REPOSITION,着陆重定位,Integer,1,0.000000,0,1,,True,ExactMatch,启用着陆点重定位功能,AI生成器,2024-12-19 10:01:49,True
00214,设置着陆速度LAND_SPEED为50cm/s,ParameterSetting,SafetySettings,Medium,4,LAND_SPEED,着陆速度,Float,50,5.000000,30,200,cm/s,True,FloatTolerance,自动着陆的下降速度,AI生成器,2024-12-19 10:00:59,True
00215,将自动降落最终阶段参数LAND_SPEED设置为50,ParameterSetting,FlightModes,Medium,4,LAND_SPEED,着陆速度,Float,50,2.000000,30,200,厘米/秒,True,FloatTolerance,自动着陆的下降速度,系统,2024-01-01 11:20:00,True
00216,验证自动着陆速度LAND_SPEED是否为50,ParameterVerify,SafetySettings,Medium,4,LAND_SPEED,着陆速度,Float,50,5.000000,30,200,cm/s,True,FloatTolerance,自动着陆下降速度,AI生成器,2024-12-19 10:03:26,True
00217,将着陆减速LAND_SPEED_HIGH设置为500,ParameterSetting,SafetySettings,Medium,4,LAND_SPEED_HIGH,高空着陆速度,Float,500,25.000000,100,2000,cm/s,True,FloatTolerance,高空阶段着陆速度,AI生成器,2024-12-19 10:03:27,True
00218,设置激光雷达LGR_ENABLE为0,ParameterSetting,SensorCalibration,Easy,3,LGR_ENABLE,激光雷达启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用激光雷达传感器,AI生成器,2024-12-19 10:02:05,True
00220,将日志启用LOG_BACKEND_TYPE设置为1,ParameterSetting,AdvancedFeatures,Easy,3,LOG_BACKEND_TYPE,日志后端类型,Integer,1,0.000000,0,4,,True,ExactMatch,启用SD卡日志记录,AI生成器,2024-12-19 10:00:46,True
00221,设置日志位掩码LOG_BITMASK为176126,ParameterSetting,AdvancedFeatures,Hard,6,LOG_BITMASK,日志位掩码,Integer,176126,0.000000,0,2000000,,True,ExactMatch,选择记录的日志类型,AI生成器,2024-12-19 10:00:47,True
00222,检查数据闪存参数LOG_BITMASK的日志类型,ParameterVerify,AdvancedFeatures,Medium,4,LOG_BITMASK,日志位掩码,Integer,176126,0.000000,0,2097151,,True,ExactMatch,选择记录的日志数据类型,系统,2024-01-01 11:15:00,True
00223,设置日志禁用掩码LOG_DISARMED为0,ParameterSetting,AdvancedFeatures,Easy,3,LOG_DISARMED,上锁时日志,Integer,0,0.000000,0,1,,True,ExactMatch,上锁时不记录日志,AI生成器,2024-12-19 10:04:46,True
00224,将日志缓冲区LOG_FILE_BUFSIZE设置为16,ParameterSetting,AdvancedFeatures,Medium,4,LOG_FILE_BUFSIZE,日志缓冲区大小,Integer,16,0.000000,1,64,KB,True,ExactMatch,日志文件缓冲区大小,AI生成器,2024-12-19 10:04:48,True
00226,将日志文件数量LOG_FILE_MB_FREE设置为20,ParameterSetting,AdvancedFeatures,Medium,4,LOG_FILE_MB_FREE,日志预留空间,Integer,20,0.000000,0,1000,MB,True,ExactMatch,预留日志存储空间,AI生成器,2024-12-19 10:04:45,True
00227,设置日志最大文件LOG_MAX_FILES为20,ParameterSetting,AdvancedFeatures,Medium,4,LOG_MAX_FILES,最大日志文件数,Integer,20,0.000000,1,10000,,True,ExactMatch,最大保留日志文件数,AI生成器,2024-12-19 10:04:49,True
00228,验证日志重播LOG_REPLAY是否为0,ParameterVerify,AdvancedFeatures,Easy,3,LOG_REPLAY,日志重播,Integer,0,0.000000,0,1,,True,ExactMatch,禁用日志重播功能,AI生成器,2024-12-19 10:04:47,True
00233,将任务重启参数MIS_RESTART设置为0,ParameterSetting,FlightModes,Medium,4,MIS_RESTART,任务重启,Integer,0,0.000000,0,1,,True,ExactMatch,断电后是否重启未完成任务,系统,2024-01-01 11:24:00,True
00237,将电机输出最大值MOT_PWM_MAX设置为2000,ParameterSetting,BasicParameters,Medium,4,MOT_PWM_MAX,电机PWM最大值,Integer,2000,0.000000,1700,2200,μs,True,ExactMatch,电机PWM信号最大脉宽,AI生成器,2024-12-19 10:01:34,True
00238,设置电机输出频率参数MOT_PWM_MAX为2000,ParameterSetting,AdvancedFeatures,Hard,6,MOT_PWM_MAX,电机PWM最大值,Integer,2000,0.000000,1200,2200,微秒,True,ExactMatch,电机ESC的最大PWM信号值,系统,2024-01-01 10:15:00,True
00239,验证电机输出最小值MOT_PWM_MIN是否为1000,ParameterVerify,BasicParameters,Medium,4,MOT_PWM_MIN,电机PWM最小值,Integer,1000,0.000000,800,1300,μs,True,ExactMatch,电机PWM信号最小脉宽,AI生成器,2024-12-19 10:01:33,True
00240,设置电机输出类型参数MOT_PWM_TYPE为0,ParameterSetting,AdvancedFeatures,Hard,6,MOT_PWM_TYPE,PWM输出类型,Integer,0,0.000000,0,6,,True,ExactMatch,电机PWM信号的输出类型,系统,2024-01-01 10:58:00,True
00241,验证电调协议MOT_PWM_TYPE是否为0,ParameterVerify,BasicParameters,Medium,4,MOT_PWM_TYPE,电机PWM类型,Integer,0,0.000000,0,6,,True,ExactMatch,使用标准PWM电调协议,AI生成器,2024-12-19 10:03:05,True
00242,将DShot协议MOT_PWM_TYPE设置为6,ParameterSetting,BasicParameters,Hard,6,MOT_PWM_TYPE,电机PWM类型,Integer,6,0.000000,0,6,,True,ExactMatch,使用DShot1200协议,AI生成器,2024-12-19 10:03:06,True
00243,设置电机输出类型MOT_PWM_TYPE为0,ParameterSetting,BasicParameters,Medium,4,MOT_PWM_TYPE,电机PWM类型,Integer,0,0.000000,0,5,,True,ExactMatch,使用标准PWM输出,AI生成器,2024-12-19 10:01:35,True
00244,验证电机测试安全参数MOT_SAFE_DISARM状态,ParameterVerify,SafetySettings,Medium,4,MOT_SAFE_DISARM,电机安全测试,Integer,0,0.000000,0,1,,True,ExactMatch,锁定状态下是否允许电机测试,系统,2024-01-01 11:09:00,True
00245,将电机测试安全限制MOT_SAFE_DISARM设置为0,ParameterSetting,SafetySettings,Medium,5,MOT_SAFE_DISARM,电机安全解锁,Integer,0,0.000000,0,1,,True,ExactMatch,允许在解锁状态下进行电机测试,AI生成器,2024-12-19 10:02:25,True
00246,检查电机启动保护参数MOT_SAFE_DISARM的状态,ParameterVerify,SafetySettings,Medium,4,MOT_SAFE_DISARM,电机安全解锁,Integer,0,0.000000,0,1,,True,ExactMatch,锁定时是否允许电机转动,系统,2024-01-01 10:27:00,True
00247,将解锁时电机速度MOT_SPIN_ARM设置为0.1,ParameterSetting,BasicParameters,Medium,4,MOT_SPIN_ARM,解锁时电机速度,Float,0.1,0.001000,0,0.2,%,True,FloatTolerance,解锁后电机开始旋转的速度,AI生成器,2024-12-19 10:00:04,True
00249,验证电机最大旋转速度MOT_SPIN_MAX的值是否为0.95,ParameterVerify,BasicParameters,Medium,4,MOT_SPIN_MAX,电机最大旋转速度,Float,0.95,0.001000,0.9,1.0,%,True,FloatTolerance,限制电机的最大转速,AI生成器,2024-12-19 10:00:03,True
00250,设置电机最小旋转速度MOT_SPIN_MIN为0.15,ParameterSetting,BasicParameters,Medium,5,MOT_SPIN_MIN,电机最小旋转速度,Float,0.15,0.001000,0,0.3,%,True,FloatTolerance,控制电机怠速时的最小转速,AI生成器,2024-12-19 10:00:02,True
00251,检查电调校准参数MOT_SPIN_MIN的最小值,ParameterVerify,AdvancedFeatures,Hard,5,MOT_SPIN_MIN,电机最小转速,Float,0.15,0.010000,0.0,0.3,,True,FloatTolerance,电机开始转动的最小PWM比例,系统,2024-01-01 10:47:00,True
00254,设置电机启动时间MOT_SPOOL_TIME为0.5秒,ParameterSetting,BasicParameters,Medium,4,MOT_SPOOL_TIME,电机启动时间,Float,0.5,0.100000,0,2,s,True,FloatTolerance,电机从静止到工作转速的时间,AI生成器,2024-12-19 10:01:41,True
00255,检查电机混控矩阵参数MOT_THST_EXPO的设置,ParameterVerify,AdvancedFeatures,Hard,6,MOT_THST_EXPO,推力指数,Float,0.65,0.050000,0.0,1.0,,True,FloatTolerance,电机推力与PWM的非线性关系,系统,2024-01-01 10:39:00,True
00256,验证电机推力曲线指数MOT_THST_EXPO是否设置为0.65,ParameterVerify,BasicParameters,Hard,6,MOT_THST_EXPO,电机推力曲线指数,Float,0.65,0.010000,0,1.0,,True,FloatTolerance,调整电机推力响应的非线性特性,AI生成器,2024-12-19 10:00:06,True
00257,设置悬停油门值MOT_THST_HOVER为0.35,ParameterSetting,BasicParameters,Medium,5,MOT_THST_HOVER,悬停油门值,Float,0.35,0.010000,0.2,0.8,%,True,FloatTolerance,维持悬停所需的油门百分比,AI生成器,2024-12-19 10:00:05,True
00258,设置电机保护温度参数MOT_THST_HOVER为0.35,ParameterSetting,AdvancedFeatures,Hard,6,MOT_THST_HOVER,悬停推力,Float,0.35,0.010000,0.1,0.8,,True,FloatTolerance,悬停时所需的推力比例,系统,2024-01-01 11:18:00,True
00259,将电机旋转方向参数MOT_YAW_HEADROOM设置为200,ParameterSetting,AdvancedFeatures,Hard,6,MOT_YAW_HEADROOM,偏航余量,Integer,200,0.000000,0,500,,True,ExactMatch,偏航控制的推力余量,系统,2024-01-01 11:32:00,True
00261,设置蜂鸣器引脚NTF_BUZZ_PIN为0,ParameterSetting,BasicParameters,Medium,4,NTF_BUZZ_PIN,蜂鸣器引脚,Integer,0,0.000000,0,255,,True,ExactMatch,使用默认蜂鸣器引脚,AI生成器,2024-12-19 10:04:52,True
00262,将蜂鸣器音量NTF_BUZZ_VOLUME设置为100,ParameterSetting,BasicParameters,Easy,3,NTF_BUZZ_VOLUME,蜂鸣器音量,Integer,100,0.000000,0,100,%,True,ExactMatch,蜂鸣器最大音量,AI生成器,2024-12-19 10:04:51,True
00263,设置显示类型NTF_DISPLAY_TYPE为0,ParameterSetting,BasicParameters,Easy,3,NTF_DISPLAY_TYPE,显示器类型,Integer,0,0.000000,0,2,,True,ExactMatch,禁用外接显示器,AI生成器,2024-12-19 10:02:08,True
00264,验证LED亮度NTF_LED_BRIGHT是否为3,ParameterVerify,BasicParameters,Easy,3,NTF_LED_BRIGHT,LED亮度,Integer,3,0.000000,0,3,,True,ExactMatch,LED亮度设置为高,AI生成器,2024-12-19 10:04:53,True
00265,验证MAC地址NTF_LED_OVERRIDE是否为0,ParameterVerify,BasicParameters,Easy,3,NTF_LED_OVERRIDE,LED覆盖,Integer,0,0.000000,0,255,,True,ExactMatch,不覆盖LED颜色,AI生成器,2024-12-19 10:04:50,True
00266,验证LED条启用NTF_LED_TYPES是否为7,ParameterVerify,BasicParameters,Easy,3,NTF_LED_TYPES,LED类型,Integer,7,0.000000,0,15,,True,ExactMatch,启用内置LED指示,AI生成器,2024-12-19 10:02:06,True
00268,验证OSD启用OSD_TYPE是否为0,ParameterVerify,BasicParameters,Easy,3,OSD_TYPE,OSD类型,Integer,0,0.000000,0,2,,True,ExactMatch,禁用屏幕显示系统,AI生成器,2024-12-19 10:02:09,True
00269,验证OSD显示参数OSD_TYPE的配置类型,ParameterVerify,AdvancedFeatures,Medium,4,OSD_TYPE,OSD类型,Integer,0,0.000000,0,1,,True,ExactMatch,机载OSD显示器的类型,系统,2024-01-01 11:29:00,True
00271,将自动起飞速度参数PILOT_SPEED_UP设置为250,ParameterSetting,FlightModes,Medium,4,PILOT_SPEED_UP,飞行员上升速度,Float,250,5.000000,50,500,厘米/秒,True,FloatTolerance,手动控制时的最大上升速度,系统,2024-01-01 11:12:00,True
00272,验证悬停学习PILOT_THR_BHV是否为0,ParameterVerify,BasicParameters,Easy,3,PILOT_THR_BHV,油门行为,Integer,0,0.000000,0,1,,True,ExactMatch,标准油门曲线行为,AI生成器,2024-12-19 10:01:36,True
00274,将油门中位PILOT_THR_FILT设置为0,ParameterSetting,BasicParameters,Easy,3,PILOT_THR_FILT,油门滤波,Float,0,0.500000,0,10,Hz,True,FloatTolerance,禁用油门输入滤波,AI生成器,2024-12-19 10:01:37,True
00275,将精确着陆PLND_ENABLED设置为0,ParameterSetting,AdvancedFeatures,Medium,4,PLND_ENABLED,精确着陆启用,Integer,0,0.000000,0,1,,True,ExactMatch,禁用精确着陆功能,AI生成器,2024-12-19 10:01:58,True
00276,设置精确着陆参数PLND_ENABLED为1,ParameterSetting,AdvancedFeatures,Hard,6,PLND_ENABLED,精确着陆使能,Integer,1,0.000000,0,1,,True,ExactMatch,启用精确着陆功能,系统,2024-01-01 11:26:00,True
00282,设置倾斜补偿PSC_ANGLE_MAX为0,ParameterSetting,PIDTuning,Medium,4,PSC_ANGLE_MAX,位置控制最大角度,Float,0,1.000000,0,60,°,True,FloatTolerance,使用ANGLE_MAX设置,AI生成器,2024-12-19 10:03:19,True
00284,将系统ID参数SYSID_THISMAV设置为1,ParameterSetting,BasicParameters,Easy,3,SYSID_THISMAV,MAVLink系统ID,Integer,1,0.000000,1,255,,True,ExactMatch,系统ID用于区分不同的飞行器,AI生成器,2024-12-19 10:00:00,True
00285,验证地面站ID参数SYSID_MYGCS是否设置为255,ParameterVerify,BasicParameters,Easy,3,SYSID_MYGCS,地面站系统ID,Integer,255,0.000000,1,255,,True,ExactMatch,地面站ID用于识别控制站,AI生成器,2024-12-19 10:00:01,True
00313,设置位置控制最大速度PSC_VELXY_P为1.0,ParameterSetting,PIDTuning,Medium,5,PSC_VELXY_P,水平速度P增益,Float,1.0,0.100000,0.1,6,,True,FloatTolerance,水平位置控制的比例增益,AI生成器,2024-12-19 10:00:29,True
00314,验证垂直速度P增益PSC_VELZ_P是否为5.0,ParameterVerify,PIDTuning,Medium,5,PSC_VELZ_P,垂直速度P增益,Float,5.0,0.100000,1,8,,True,FloatTolerance,垂直位置控制的比例增益,AI生成器,2024-12-19 10:00:30,True
00332,验证串口0波特率SERIAL0_BAUD是否为115200,ParameterVerify,BasicParameters,Easy,3,SERIAL0_BAUD,串口0波特率,Integer,115200,0.000000,1200,2000000,bps,True,ExactMatch,USB串口通信速率,AI生成器,2024-12-19 10:00:48,True
00333,将串口1协议SERIAL1_PROTOCOL设置为1,ParameterSetting,BasicParameters,Medium,4,SERIAL1_PROTOCOL,串口1协议,Integer,1,0.000000,0,20,,True,ExactMatch,设置TELEM1端口协议为MAVLink,AI生成器,2024-12-19 10:00:49,True
00334,设置串口1波特率SERIAL1_BAUD为57600,ParameterSetting,BasicParameters,Medium,4,SERIAL1_BAUD,串口1波特率,Integer,57600,0.000000,1200,2000000,bps,True,ExactMatch,TELEM1端口通信速率,AI生成器,2024-12-19 10:00:50,True
00338,验证最大爬升速度WPNAV_SPEED_UP是否为250cm/s,ParameterVerify,PIDTuning,Medium,4,WPNAV_SPEED_UP,最大爬升速度,Float,250,10.000000,10,1000,cm/s,True,FloatTolerance,自动模式下的最大爬升速度,AI生成器,2024-12-19 10:00:54,True
00339,将最大下降速度WPNAV_SPEED_DN设置为150cm/s,ParameterSetting,PIDTuning,Medium,4,WPNAV_SPEED_DN,最大下降速度,Float,150,10.000000,10,500,cm/s,True,FloatTolerance,自动模式下的最大下降速度,AI生成器,2024-12-19 10:00:55,True
00340,设置导航速度WPNAV_SPEED为500cm/s,ParameterSetting,PIDTuning,Medium,4,WPNAV_SPEED,导航速度,Float,500,10.000000,20,2000,cm/s,True,FloatTolerance,自动模式下的水平飞行速度,AI生成器,2024-12-19 10:00:56,True
00341,验证返航高度RTL_ALT是否设置为1500cm,ParameterVerify,SafetySettings,Medium,4,RTL_ALT,返航高度,Float,1500,50.000000,0,8000,cm,True,FloatTolerance,返航模式的飞行高度,AI生成器,2024-12-19 10:00:57,True
00342,将返航速度RTL_SPEED设置为500cm/s,ParameterSetting,SafetySettings,Medium,4,RTL_SPEED,返航速度,Float,500,10.000000,0,2000,cm/s,True,FloatTolerance,返航模式的水平速度,AI生成器,2024-12-19 10:00:58,True
00348,将横滚轴输入死区RC1_DZ设置为30,ParameterSetting,BasicParameters,Easy,3,RC1_DZ,RC1死区,Integer,30,0.000000,0,200,,True,ExactMatch,横滚通道的死区大小,AI生成器,2024-12-19 10:01:04,True
00349,设置俯仰轴输入死区RC2_DZ为30,ParameterSetting,BasicParameters,Easy,3,RC2_DZ,RC2死区,Integer,30,0.000000,0,200,,True,ExactMatch,俯仰通道的死区大小,AI生成器,2024-12-19 10:01:05,True
00350,验证油门通道死区RC3_DZ是否为30,ParameterVerify,BasicParameters,Easy,3,RC3_DZ,RC3死区,Integer,30,0.000000,0,200,,True,ExactMatch,油门通道的死区大小,AI生成器,2024-12-19 10:01:06,True
00351,将偏航轴输入死区RC4_DZ设置为40,ParameterSetting,BasicParameters,Easy,3,RC4_DZ,RC4死区,Integer,40,0.000000,0,200,,True,ExactMatch,偏航通道的死区大小,AI生成器,2024-12-19 10:01:07,True
00352,设置遥控器1最小值RC1_MIN为1100,ParameterSetting,BasicParameters,Medium,4,RC1_MIN,RC1最小值,Integer,1100,0.000000,800,1300,μs,True,ExactMatch,横滚通道的最小脉宽,AI生成器,2024-12-19 10:01:08,True
00353,验证遥控器1最大值RC1_MAX是否为1900,ParameterVerify,BasicParameters,Medium,4,RC1_MAX,RC1最大值,Integer,1900,0.000000,1700,2200,μs,True,ExactMatch,横滚通道的最大脉宽,AI生成器,2024-12-19 10:01:09,True
00354,将遥控器2最小值RC2_MIN设置为1100,ParameterSetting,BasicParameters,Medium,4,RC2_MIN,RC2最小值,Integer,1100,0.000000,800,1300,μs,True,ExactMatch,俯仰通道的最小脉宽,AI生成器,2024-12-19 10:01:10,True
00355,设置遥控器2最大值RC2_MAX为1900,ParameterSetting,BasicParameters,Medium,4,RC2_MAX,RC2最大值,Integer,1900,0.000000,1700,2200,μs,True,ExactMatch,俯仰通道的最大脉宽,AI生成器,2024-12-19 10:01:11,True
00356,验证遥控器3最小值RC3_MIN是否为1100,ParameterVerify,BasicParameters,Medium,4,RC3_MIN,RC3最小值,Integer,1100,0.000000,800,1300,μs,True,ExactMatch,油门通道的最小脉宽,AI生成器,2024-12-19 10:01:12,True
00357,将遥控器3最大值RC3_MAX设置为1900,ParameterSetting,BasicParameters,Medium,4,RC3_MAX,RC3最大值,Integer,1900,0.000000,1700,2200,μs,True,ExactMatch,油门通道的最大脉宽,AI生成器,2024-12-19 10:01:13,True
00358,设置遥控器4最小值RC4_MIN为1100,ParameterSetting,BasicParameters,Medium,4,RC4_MIN,RC4最小值,Integer,1100,0.000000,800,1300,μs,True,ExactMatch,偏航通道的最小脉宽,AI生成器,2024-12-19 10:01:14,True
